Model,MSRP,Build URL,Image URL_x,MPG,Category,Name,Price/Details,Image URL_y
TRD Sport i-FORCE MAX,"$46,300",https://www.toyota.com/configurator/build/step/model/year/2024/series/tacomahybrid/model/7530/?bap_guid=1b8f46e5-7327-45e7-a4d9-99f17834c28a,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacomahybrid/7530/679/f6634c17a1267e434c936a97df0b59060fa097d47c14aae5c9663a8b4798f968.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",22/24,Exterior,Solar Octane *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacomahybrid/7530/679/f6634c17a1267e434c936a97df0b59060fa097d47c14aae5c9663a8b4798f968.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
TRD Sport i-FORCE MAX,"$46,300",https://www.toyota.com/configurator/build/step/model/year/2024/series/tacomahybrid/model/7530/?bap_guid=1b8f46e5-7327-45e7-a4d9-99f17834c28a,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacomahybrid/7530/679/f6634c17a1267e434c936a97df0b59060fa097d47c14aae5c9663a8b4798f968.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",22/24,Exterior,Bronze Oxide,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacomahybrid/7530/679/f6634c17a1267e434c936a97df0b59060fa097d47c14aae5c9663a8b4798f968.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
TRD Sport i-FORCE MAX,"$46,300",https://www.toyota.com/configurator/build/step/model/year/2024/series/tacomahybrid/model/7530/?bap_guid=1b8f46e5-7327-45e7-a4d9-99f17834c28a,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacomahybrid/7530/679/f6634c17a1267e434c936a97df0b59060fa097d47c14aae5c9663a8b4798f968.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",22/24,Exterior,Ice Cap,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacomahybrid/7530/665/695720a1dcdff5fcef6e8b7c71ae8adde8291261181749b32dd24d627c30eb14.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
TRD Sport i-FORCE MAX,"$46,300",https://www.toyota.com/configurator/build/step/model/year/2024/series/tacomahybrid/model/7530/?bap_guid=1b8f46e5-7327-45e7-a4d9-99f17834c28a,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacomahybrid/7530/679/f6634c17a1267e434c936a97df0b59060fa097d47c14aae5c9663a8b4798f968.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",22/24,Exterior,Underground,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacomahybrid/7530/267/21e989b39cb49ef2f024f670d5d73036f3b2e1c91edbbc9e9e68a2c060bc949d.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
TRD Sport i-FORCE MAX,"$46,300",https://www.toyota.com/configurator/build/step/model/year/2024/series/tacomahybrid/model/7530/?bap_guid=1b8f46e5-7327-45e7-a4d9-99f17834c28a,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacomahybrid/7530/679/f6634c17a1267e434c936a97df0b59060fa097d47c14aae5c9663a8b4798f968.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",22/24,Exterior,Celestial Silver Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacomahybrid/7530/571/0ba875c3b0eb900c82a7af7ee4f64edc67a842aab5cb6c27801cb2f06cfd7b3f.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
TRD Sport i-FORCE MAX,"$46,300",https://www.toyota.com/configurator/build/step/model/year/2024/series/tacomahybrid/model/7530/?bap_guid=1b8f46e5-7327-45e7-a4d9-99f17834c28a,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacomahybrid/7530/679/f6634c17a1267e434c936a97df0b59060fa097d47c14aae5c9663a8b4798f968.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",22/24,Exterior,Black,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacomahybrid/7530/679/f6634c17a1267e434c936a97df0b59060fa097d47c14aae5c9663a8b4798f968.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
TRD Sport i-FORCE MAX,"$46,300",https://www.toyota.com/configurator/build/step/model/year/2024/series/tacomahybrid/model/7530/?bap_guid=1b8f46e5-7327-45e7-a4d9-99f17834c28a,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacomahybrid/7530/679/f6634c17a1267e434c936a97df0b59060fa097d47c14aae5c9663a8b4798f968.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",22/24,Exterior,Supersonic Red *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacomahybrid/7530/679/f6634c17a1267e434c936a97df0b59060fa097d47c14aae5c9663a8b4798f968.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
TRD Sport i-FORCE MAX,"$46,300",https://www.toyota.com/configurator/build/step/model/year/2024/series/tacomahybrid/model/7530/?bap_guid=1b8f46e5-7327-45e7-a4d9-99f17834c28a,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacomahybrid/7530/679/f6634c17a1267e434c936a97df0b59060fa097d47c14aae5c9663a8b4798f968.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",22/24,Exterior,Blue Crush Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacomahybrid/7530/205/6864a0b5000c2bec0e1da15da58cb5d9f006e72277eb084606b8ef927489465c.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
TRD Sport i-FORCE MAX,"$46,300",https://www.toyota.com/configurator/build/step/model/year/2024/series/tacomahybrid/model/7530/?bap_guid=1b8f46e5-7327-45e7-a4d9-99f17834c28a,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacomahybrid/7530/679/f6634c17a1267e434c936a97df0b59060fa097d47c14aae5c9663a8b4798f968.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",22/24,Exterior,Wind Chill Pearl *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacomahybrid/7530/30/1c988e9efab1a5757615dca9c992607cd3909b16a260e6e04892a1c86d0fabf5.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
TRD Sport i-FORCE MAX,"$46,300",https://www.toyota.com/configurator/build/step/model/year/2024/series/tacomahybrid/model/7530/?bap_guid=1b8f46e5-7327-45e7-a4d9-99f17834c28a,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacomahybrid/7530/679/f6634c17a1267e434c936a97df0b59060fa097d47c14aae5c9663a8b4798f968.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",22/24,Interior,Boulder/Black Fabric w/Anodized Blue,Included,
TRD Sport i-FORCE MAX,"$46,300",https://www.toyota.com/configurator/build/step/model/year/2024/series/tacomahybrid/model/7530/?bap_guid=1b8f46e5-7327-45e7-a4d9-99f17834c28a,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacomahybrid/7530/679/f6634c17a1267e434c936a97df0b59060fa097d47c14aae5c9663a8b4798f968.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",22/24,Interior,Black SofTex® *,Included,
TRD Sport i-FORCE MAX,"$46,300",https://www.toyota.com/configurator/build/step/model/year/2024/series/tacomahybrid/model/7530/?bap_guid=1b8f46e5-7327-45e7-a4d9-99f17834c28a,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacomahybrid/7530/679/f6634c17a1267e434c936a97df0b59060fa097d47c14aae5c9663a8b4798f968.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",22/24,Interior,Black Fabric w/White,Included,
TRD Sport i-FORCE MAX,"$46,300",https://www.toyota.com/configurator/build/step/model/year/2024/series/tacomahybrid/model/7530/?bap_guid=1b8f46e5-7327-45e7-a4d9-99f17834c28a,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacomahybrid/7530/679/f6634c17a1267e434c936a97df0b59060fa097d47c14aae5c9663a8b4798f968.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",22/24,Interior,Boulder/Black Fabric w/Smoke Silver,Included,
