Model,MSRP,Build URL,Image URL_x,MPG,Category,Name,Price/Details,Image URL_y
XLE,"$37,070",https://www.toyota.com/configurator/build/step/model/year/2025/series/bz4x/model/2870/?bap_guid=39af12b4-0357-4c3d-bb8b-dd284bc5f5c5,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/bz4x/2870/741/3bcf561d82983e54f9d3a0b71e11b388a35901373c94d0b528b754e97b10a950.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",252,Exterior,Wind Chill Pearl *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/bz4x/2870/157/7f1344852c317842245e0f6898afd429b9b0306dfd4892a29a3e237277b65968.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,"$37,070",https://www.toyota.com/configurator/build/step/model/year/2025/series/bz4x/model/2870/?bap_guid=39af12b4-0357-4c3d-bb8b-dd284bc5f5c5,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/bz4x/2870/741/3bcf561d82983e54f9d3a0b71e11b388a35901373c94d0b528b754e97b10a950.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",252,Exterior,Elemental Silver Metallic *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/bz4x/2870/770/4617d81a2ce755f249a8f59f1dbbf78a49990c1ada210a34210b4bc572ee3473.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,"$37,070",https://www.toyota.com/configurator/build/step/model/year/2025/series/bz4x/model/2870/?bap_guid=39af12b4-0357-4c3d-bb8b-dd284bc5f5c5,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/bz4x/2870/741/3bcf561d82983e54f9d3a0b71e11b388a35901373c94d0b528b754e97b10a950.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",252,Exterior,Heavy Metal *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/bz4x/2870/999/da3b08efd13c2d01dd8e196b4ca2dfbdec378b1cef898334bef7d51186dce745.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,"$37,070",https://www.toyota.com/configurator/build/step/model/year/2025/series/bz4x/model/2870/?bap_guid=39af12b4-0357-4c3d-bb8b-dd284bc5f5c5,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/bz4x/2870/741/3bcf561d82983e54f9d3a0b71e11b388a35901373c94d0b528b754e97b10a950.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",252,Exterior,Supersonic Red *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/bz4x/2870/741/3bcf561d82983e54f9d3a0b71e11b388a35901373c94d0b528b754e97b10a950.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,"$37,070",https://www.toyota.com/configurator/build/step/model/year/2025/series/bz4x/model/2870/?bap_guid=39af12b4-0357-4c3d-bb8b-dd284bc5f5c5,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/bz4x/2870/741/3bcf561d82983e54f9d3a0b71e11b388a35901373c94d0b528b754e97b10a950.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",252,Exterior,Black,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/bz4x/2870/377/e0a79269e2947d456f15cf19321692f7b92349f4d34cc61d8f1fd923d944b443.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,"$37,070",https://www.toyota.com/configurator/build/step/model/year/2025/series/bz4x/model/2870/?bap_guid=39af12b4-0357-4c3d-bb8b-dd284bc5f5c5,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/bz4x/2870/741/3bcf561d82983e54f9d3a0b71e11b388a35901373c94d0b528b754e97b10a950.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",252,Interior,Fabric/Softex - Black,Included,
XLE,"$37,070",https://www.toyota.com/configurator/build/step/model/year/2025/series/bz4x/model/2870/?bap_guid=39af12b4-0357-4c3d-bb8b-dd284bc5f5c5,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/bz4x/2870/741/3bcf561d82983e54f9d3a0b71e11b388a35901373c94d0b528b754e97b10a950.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",252,Engine,Single Electric Motor,Included,
XLE,"$37,070",https://www.toyota.com/configurator/build/step/model/year/2025/series/bz4x/model/2870/?bap_guid=39af12b4-0357-4c3d-bb8b-dd284bc5f5c5,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/bz4x/2870/741/3bcf561d82983e54f9d3a0b71e11b388a35901373c94d0b528b754e97b10a950.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",252,Transmission,1-Speed Automatic Transmission,Included,
XLE,"$37,070",https://www.toyota.com/configurator/build/step/model/year/2025/series/bz4x/model/2870/?bap_guid=39af12b4-0357-4c3d-bb8b-dd284bc5f5c5,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/bz4x/2870/741/3bcf561d82983e54f9d3a0b71e11b388a35901373c94d0b528b754e97b10a950.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",252,Drivetrain,Front-Wheel Drive,Included,
XLE,"$37,070",https://www.toyota.com/configurator/build/step/model/year/2025/series/bz4x/model/2870/?bap_guid=39af12b4-0357-4c3d-bb8b-dd284bc5f5c5,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/bz4x/2870/741/3bcf561d82983e54f9d3a0b71e11b388a35901373c94d0b528b754e97b10a950.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",252,Drivetrain,All-Wheel Drive,,
