Model,MSRP,Build URL,Image URL_x,MPG,Category,Name,Price/Details,Image URL_y
Hybrid S,"$28,395",https://www.toyota.com/configurator/build/step/model/year/2025/series/corollacrosshybrid/model/6312/?bap_guid=1b42f8da-45f3-4bcb-bdfd-9379067a54e8,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacrosshybrid/6312/827/f6125deb44ac07a803ad502c1f2c7054321f0873c6817819718230b8bc1097e8.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",45/38,Exterior,Celestite,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacrosshybrid/6312/936/917e3ae8b96de254a82bc89c52e6e53e70c0de726ccb0e8c3b81707660cc946f.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid S,"$28,395",https://www.toyota.com/configurator/build/step/model/year/2025/series/corollacrosshybrid/model/6312/?bap_guid=1b42f8da-45f3-4bcb-bdfd-9379067a54e8,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacrosshybrid/6312/827/f6125deb44ac07a803ad502c1f2c7054321f0873c6817819718230b8bc1097e8.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",45/38,Exterior,Wind Chill Pearl *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacrosshybrid/6312/75/f2162eeb8537ca9c11e8f040234fd427dac3160090467daad97ad62ccc7af860.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid S,"$28,395",https://www.toyota.com/configurator/build/step/model/year/2025/series/corollacrosshybrid/model/6312/?bap_guid=1b42f8da-45f3-4bcb-bdfd-9379067a54e8,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacrosshybrid/6312/827/f6125deb44ac07a803ad502c1f2c7054321f0873c6817819718230b8bc1097e8.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",45/38,Exterior,Jet Black,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacrosshybrid/6312/700/57b3c32ca0cebb5321b5df5eab8fd88562c899f716a7689ad611cff47b670630.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid S,"$28,395",https://www.toyota.com/configurator/build/step/model/year/2025/series/corollacrosshybrid/model/6312/?bap_guid=1b42f8da-45f3-4bcb-bdfd-9379067a54e8,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacrosshybrid/6312/827/f6125deb44ac07a803ad502c1f2c7054321f0873c6817819718230b8bc1097e8.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",45/38,Exterior,Sonic Silver,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacrosshybrid/6312/827/f6125deb44ac07a803ad502c1f2c7054321f0873c6817819718230b8bc1097e8.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid S,"$28,395",https://www.toyota.com/configurator/build/step/model/year/2025/series/corollacrosshybrid/model/6312/?bap_guid=1b42f8da-45f3-4bcb-bdfd-9379067a54e8,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacrosshybrid/6312/827/f6125deb44ac07a803ad502c1f2c7054321f0873c6817819718230b8bc1097e8.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",45/38,Interior,Gray/Black Fabric,Included,
Hybrid S,"$28,395",https://www.toyota.com/configurator/build/step/model/year/2025/series/corollacrosshybrid/model/6312/?bap_guid=1b42f8da-45f3-4bcb-bdfd-9379067a54e8,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacrosshybrid/6312/827/f6125deb44ac07a803ad502c1f2c7054321f0873c6817819718230b8bc1097e8.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",45/38,Engine,2.0L 4-Cyl. Hybrid Engine,Included,
Hybrid S,"$28,395",https://www.toyota.com/configurator/build/step/model/year/2025/series/corollacrosshybrid/model/6312/?bap_guid=1b42f8da-45f3-4bcb-bdfd-9379067a54e8,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacrosshybrid/6312/827/f6125deb44ac07a803ad502c1f2c7054321f0873c6817819718230b8bc1097e8.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",45/38,Transmission,Continuously Variable Transmission with intelligence and Shift Mode (CVTi-S),Included,
Hybrid S,"$28,395",https://www.toyota.com/configurator/build/step/model/year/2025/series/corollacrosshybrid/model/6312/?bap_guid=1b42f8da-45f3-4bcb-bdfd-9379067a54e8,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacrosshybrid/6312/827/f6125deb44ac07a803ad502c1f2c7054321f0873c6817819718230b8bc1097e8.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",45/38,Drivetrain,All-Wheel Drive,Included,
Hybrid SE,"$29,715",https://www.toyota.com/configurator/build/step/model/year/2025/series/corollacrosshybrid/model/6314/?bap_guid=1b42f8da-45f3-4bcb-bdfd-9379067a54e8,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacrosshybrid/6314/278/11ee3ea6c2ed4c468040577da00035ad74f992643c3956c4b2ffc488138afa56.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",45/38,Exterior,Soul Red Crystal/Jet Black roof *,$975,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacrosshybrid/6314/278/11ee3ea6c2ed4c468040577da00035ad74f992643c3956c4b2ffc488138afa56.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid SE,"$29,715",https://www.toyota.com/configurator/build/step/model/year/2025/series/corollacrosshybrid/model/6314/?bap_guid=1b42f8da-45f3-4bcb-bdfd-9379067a54e8,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacrosshybrid/6314/278/11ee3ea6c2ed4c468040577da00035ad74f992643c3956c4b2ffc488138afa56.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",45/38,Exterior,Celestite,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacrosshybrid/6314/872/852b65f0efaf68bd0a69b1f2eacdf514bf3ce011a68f97ab3987f170f233e1a5.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
