Model,MSRP,Build URL,Image URL_x,MPG,Category,Name,Price/Details,Image URL_y
Hybrid LE,"$23,825",https://www.toyota.com/configurator/build/step/model/year/2025/series/corollahybrid/model/1882/?bap_guid=12dd81d1-6402-48fc-b44a-678454ececcb,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollahybrid/1882/463/3460744fdb4ef2faeefd56e55bb0769a91813eb2aaff5e5439cb409a9a0a1e96.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",53/46,Exterior,Blueprint,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollahybrid/1882/74/1ac06b9a7bea3a468bb3355c95e64f8687e0393d621b8f1fb1080c51d3a96a85.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid LE,"$23,825",https://www.toyota.com/configurator/build/step/model/year/2025/series/corollahybrid/model/1882/?bap_guid=12dd81d1-6402-48fc-b44a-678454ececcb,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollahybrid/1882/463/3460744fdb4ef2faeefd56e55bb0769a91813eb2aaff5e5439cb409a9a0a1e96.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",53/46,Exterior,Wind Chill Pearl *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollahybrid/1882/802/864f29128b4644e8514db6ad0b0f5540d7555fd947d6e98c2428aea55095a01a.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid LE,"$23,825",https://www.toyota.com/configurator/build/step/model/year/2025/series/corollahybrid/model/1882/?bap_guid=12dd81d1-6402-48fc-b44a-678454ececcb,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollahybrid/1882/463/3460744fdb4ef2faeefd56e55bb0769a91813eb2aaff5e5439cb409a9a0a1e96.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",53/46,Exterior,Ice Cap,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollahybrid/1882/463/3460744fdb4ef2faeefd56e55bb0769a91813eb2aaff5e5439cb409a9a0a1e96.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid LE,"$23,825",https://www.toyota.com/configurator/build/step/model/year/2025/series/corollahybrid/model/1882/?bap_guid=12dd81d1-6402-48fc-b44a-678454ececcb,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollahybrid/1882/463/3460744fdb4ef2faeefd56e55bb0769a91813eb2aaff5e5439cb409a9a0a1e96.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",53/46,Exterior,Ruby Flare Pearl *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollahybrid/1882/320/a2e3d580b3d3cc1435ec09a5fa431701bb17b36f003eadff4a063ed197c0b113.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid LE,"$23,825",https://www.toyota.com/configurator/build/step/model/year/2025/series/corollahybrid/model/1882/?bap_guid=12dd81d1-6402-48fc-b44a-678454ececcb,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollahybrid/1882/463/3460744fdb4ef2faeefd56e55bb0769a91813eb2aaff5e5439cb409a9a0a1e96.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",53/46,Exterior,Classic Silver Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollahybrid/1882/52/4c2ee664b560731a0a48be48e4f25986cd877c4788e4ffe09204a274459deff4.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid LE,"$23,825",https://www.toyota.com/configurator/build/step/model/year/2025/series/corollahybrid/model/1882/?bap_guid=12dd81d1-6402-48fc-b44a-678454ececcb,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollahybrid/1882/463/3460744fdb4ef2faeefd56e55bb0769a91813eb2aaff5e5439cb409a9a0a1e96.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",53/46,Exterior,Celestite,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollahybrid/1882/97/eb83a0a14bc5cf003a5f94bf9e282d2e7d8b72b39866d3e7e2c3c0c37666fae6.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid LE,"$23,825",https://www.toyota.com/configurator/build/step/model/year/2025/series/corollahybrid/model/1882/?bap_guid=12dd81d1-6402-48fc-b44a-678454ececcb,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollahybrid/1882/463/3460744fdb4ef2faeefd56e55bb0769a91813eb2aaff5e5439cb409a9a0a1e96.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",53/46,Exterior,Midnight Black Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollahybrid/1882/180/3925d6fc9c18d74abca586d05eda2d4b4db09ed0ce94b8a256124919507a74d6.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid LE,"$23,825",https://www.toyota.com/configurator/build/step/model/year/2025/series/corollahybrid/model/1882/?bap_guid=12dd81d1-6402-48fc-b44a-678454ececcb,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollahybrid/1882/463/3460744fdb4ef2faeefd56e55bb0769a91813eb2aaff5e5439cb409a9a0a1e96.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",53/46,Exterior,Underground,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollahybrid/1882/459/38847f63daf2be9266472c711ff4991b7afa5dde9064b6a9239277bef220b1a1.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid LE,"$23,825",https://www.toyota.com/configurator/build/step/model/year/2025/series/corollahybrid/model/1882/?bap_guid=12dd81d1-6402-48fc-b44a-678454ececcb,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollahybrid/1882/463/3460744fdb4ef2faeefd56e55bb0769a91813eb2aaff5e5439cb409a9a0a1e96.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",53/46,Interior,Light Gray Fabric,Included,
Hybrid LE,"$23,825",https://www.toyota.com/configurator/build/step/model/year/2025/series/corollahybrid/model/1882/?bap_guid=12dd81d1-6402-48fc-b44a-678454ececcb,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollahybrid/1882/463/3460744fdb4ef2faeefd56e55bb0769a91813eb2aaff5e5439cb409a9a0a1e96.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",53/46,Interior,Black Fabric,Included,
