Model,MSRP,Build URL,Image URL_x,MPG,Category,Name,Price/Details,Image URL_y
Core,"$38,860",https://www.toyota.com/configurator/build/step/model/year/2025/series/grcorolla/model/6280/?bap_guid=235c5ee7-cecb-4e4f-95df-f49bafe465a8,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grcorolla/6281/591/48e5532fabbd1d2e3fbee843c97ef669f5859cbfdfde4f057cf553efa242921b.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/28,Exterior,Supersonic Red *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grcorolla/6280/112/d1c7dfd81713095f41a4b9d869438d4e483d5dcf596c9353dafaf71908c009fc.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Core,"$38,860",https://www.toyota.com/configurator/build/step/model/year/2025/series/grcorolla/model/6280/?bap_guid=235c5ee7-cecb-4e4f-95df-f49bafe465a8,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grcorolla/6281/591/48e5532fabbd1d2e3fbee843c97ef669f5859cbfdfde4f057cf553efa242921b.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/28,Exterior,Ice Cap,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grcorolla/6280/389/681a9465fb50120ede3e8f563482f8fd4055f0728416696aff1802e06b84af8e.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Core,"$38,860",https://www.toyota.com/configurator/build/step/model/year/2025/series/grcorolla/model/6280/?bap_guid=235c5ee7-cecb-4e4f-95df-f49bafe465a8,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grcorolla/6281/591/48e5532fabbd1d2e3fbee843c97ef669f5859cbfdfde4f057cf553efa242921b.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/28,Exterior,Black,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grcorolla/6280/289/38f1f6291aff1ea2ac52bf2022b8105d658d6105afdf118530d80869aff1a312.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Core,"$38,860",https://www.toyota.com/configurator/build/step/model/year/2025/series/grcorolla/model/6280/?bap_guid=235c5ee7-cecb-4e4f-95df-f49bafe465a8,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grcorolla/6281/591/48e5532fabbd1d2e3fbee843c97ef669f5859cbfdfde4f057cf553efa242921b.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/28,Interior,Black fabric,Included,
Core,"$38,860",https://www.toyota.com/configurator/build/step/model/year/2025/series/grcorolla/model/6280/?bap_guid=235c5ee7-cecb-4e4f-95df-f49bafe465a8,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grcorolla/6281/591/48e5532fabbd1d2e3fbee843c97ef669f5859cbfdfde4f057cf553efa242921b.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/28,Engine,1.6L 3-Cyl. Turbo Engine,Included,
Core,"$38,860",https://www.toyota.com/configurator/build/step/model/year/2025/series/grcorolla/model/6280/?bap_guid=235c5ee7-cecb-4e4f-95df-f49bafe465a8,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grcorolla/6281/591/48e5532fabbd1d2e3fbee843c97ef669f5859cbfdfde4f057cf553efa242921b.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/28,Transmission,8-Speed GAZOO Racing Direct Automatic Transmission (DAT) with Paddle Shifters,Included,
Core,"$38,860",https://www.toyota.com/configurator/build/step/model/year/2025/series/grcorolla/model/6280/?bap_guid=235c5ee7-cecb-4e4f-95df-f49bafe465a8,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grcorolla/6281/591/48e5532fabbd1d2e3fbee843c97ef669f5859cbfdfde4f057cf553efa242921b.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/28,Drivetrain,All-Wheel Drive,Included,
Premium,"$41,440",https://www.toyota.com/configurator/build/step/model/year/2025/series/grcorolla/model/6286/?bap_guid=235c5ee7-cecb-4e4f-95df-f49bafe465a8,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grcorolla/6287/718/0a59ab4e3fbafaad5d96040ba9e0860df2adbbd25cecc819cd95dbe065260646.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/28,Exterior,Supersonic Red *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grcorolla/6286/782/44adbcee500528e09ee947a3c5020e80caabd327d875aee4d37673fa6a6aee5a.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Premium,"$41,440",https://www.toyota.com/configurator/build/step/model/year/2025/series/grcorolla/model/6286/?bap_guid=235c5ee7-cecb-4e4f-95df-f49bafe465a8,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grcorolla/6287/718/0a59ab4e3fbafaad5d96040ba9e0860df2adbbd25cecc819cd95dbe065260646.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/28,Exterior,Heavy Metal *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grcorolla/6286/372/19b75964c374581c3f70d61ee0c427092b06fe864ab8305dfea9413c5c7defa6.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Premium,"$41,440",https://www.toyota.com/configurator/build/step/model/year/2025/series/grcorolla/model/6286/?bap_guid=235c5ee7-cecb-4e4f-95df-f49bafe465a8,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grcorolla/6287/718/0a59ab4e3fbafaad5d96040ba9e0860df2adbbd25cecc819cd95dbe065260646.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/28,Exterior,Ice Cap,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grcorolla/6286/451/27222263c9fc18604c73b1eafdd0dcd97dfacb35571ea80d94947333748e7a1b.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
