Model,MSRP,Build URL,Image URL_x,MPG,Category,Name,Price/Details,Image URL_y
Hybrid LE,"$31,900",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4hybrid/model/4435/?bap_guid=e27d14da-4597-4f28-940a-17eb241f3502,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4hybrid/4435/524/6c5bccc4f5e85796385d7e4d64b32aee08df8f7d3ca181938d31995a08f8f023.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",41/38,Exterior,Magnetic Gray Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4hybrid/4435/482/3e11a3fa17af9050d80b019f34f124ae1c271353308fe6fa07506a9aacf851b9.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid LE,"$31,900",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4hybrid/model/4435/?bap_guid=e27d14da-4597-4f28-940a-17eb241f3502,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4hybrid/4435/524/6c5bccc4f5e85796385d7e4d64b32aee08df8f7d3ca181938d31995a08f8f023.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",41/38,Exterior,Ice Cap,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4hybrid/4435/670/c983f63ea313bc5b55e9bfcfd8d6ebe95173b3b5dc760928258e7c69a3b60000.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid LE,"$31,900",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4hybrid/model/4435/?bap_guid=e27d14da-4597-4f28-940a-17eb241f3502,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4hybrid/4435/524/6c5bccc4f5e85796385d7e4d64b32aee08df8f7d3ca181938d31995a08f8f023.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",41/38,Exterior,Midnight Black Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4hybrid/4435/890/c61a470ac7502a89d710855236e22ba0fddb8a2ebaaae06054d2bd134c0409a2.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid LE,"$31,900",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4hybrid/model/4435/?bap_guid=e27d14da-4597-4f28-940a-17eb241f3502,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4hybrid/4435/524/6c5bccc4f5e85796385d7e4d64b32aee08df8f7d3ca181938d31995a08f8f023.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",41/38,Exterior,Ruby Flare Pearl *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4hybrid/4435/246/b9e8ea1eb4cdf491f226ac09b2a7b7927391af1af3f734ae59118e2448c87d34.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid LE,"$31,900",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4hybrid/model/4435/?bap_guid=e27d14da-4597-4f28-940a-17eb241f3502,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4hybrid/4435/524/6c5bccc4f5e85796385d7e4d64b32aee08df8f7d3ca181938d31995a08f8f023.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",41/38,Exterior,Silver Sky Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4hybrid/4435/524/6c5bccc4f5e85796385d7e4d64b32aee08df8f7d3ca181938d31995a08f8f023.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid LE,"$31,900",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4hybrid/model/4435/?bap_guid=e27d14da-4597-4f28-940a-17eb241f3502,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4hybrid/4435/524/6c5bccc4f5e85796385d7e4d64b32aee08df8f7d3ca181938d31995a08f8f023.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",41/38,Interior,Nutmeg Fabric,Included,
Hybrid LE,"$31,900",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4hybrid/model/4435/?bap_guid=e27d14da-4597-4f28-940a-17eb241f3502,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4hybrid/4435/524/6c5bccc4f5e85796385d7e4d64b32aee08df8f7d3ca181938d31995a08f8f023.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",41/38,Interior,Black Fabric,Included,
Hybrid LE,"$31,900",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4hybrid/model/4435/?bap_guid=e27d14da-4597-4f28-940a-17eb241f3502,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4hybrid/4435/524/6c5bccc4f5e85796385d7e4d64b32aee08df8f7d3ca181938d31995a08f8f023.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",41/38,Engine,2.5L 4-Cyl. Hybrid Engine,Included,
Hybrid LE,"$31,900",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4hybrid/model/4435/?bap_guid=e27d14da-4597-4f28-940a-17eb241f3502,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4hybrid/4435/524/6c5bccc4f5e85796385d7e4d64b32aee08df8f7d3ca181938d31995a08f8f023.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",41/38,Transmission,Electronically controlled Continuously Variable Transmission (ECVT),Included,
Hybrid LE,"$31,900",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4hybrid/model/4435/?bap_guid=e27d14da-4597-4f28-940a-17eb241f3502,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4hybrid/4435/524/6c5bccc4f5e85796385d7e4d64b32aee08df8f7d3ca181938d31995a08f8f023.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",41/38,Drivetrain,All-Wheel Drive,Included,
Hybrid LE,"$31,900",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4hybrid/model/4435/?bap_guid=e27d14da-4597-4f28-940a-17eb241f3502,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4hybrid/4435/524/6c5bccc4f5e85796385d7e4d64b32aee08df8f7d3ca181938d31995a08f8f023.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",41/38,Add-On,Blind Spot Monitor (BSM) * with Rear Cross-Traffic Alert (RCTA) *,$590 MSRP,
Hybrid LE,"$31,900",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4hybrid/model/4435/?bap_guid=e27d14da-4597-4f28-940a-17eb241f3502,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4hybrid/4435/524/6c5bccc4f5e85796385d7e4d64b32aee08df8f7d3ca181938d31995a08f8f023.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",41/38,Add-On,Rear cargo area cover,$90 MSRP,
