Model,MSRP,Build URL,Image URL_x,MPG,Category,Name,Price/Details,Image URL_y
SR5,"$62,425",https://www.toyota.com/configurator/build/step/model/year/2025/series/sequoia/model/7946/?bap_guid=559ebdf9-a33f-49ed-87eb-9f50a34c4d16,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7946/422/ad573086464f5c481148261a0beda994a52c1964b090f1fc40a9c51b6caedc95.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/24,Exterior,Blueprint,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7946/279/f71d53875573d9410d5005629c8e6e584902a4074a3a9c24c4931c05ae05fab5.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR5,"$62,425",https://www.toyota.com/configurator/build/step/model/year/2025/series/sequoia/model/7946/?bap_guid=559ebdf9-a33f-49ed-87eb-9f50a34c4d16,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7946/422/ad573086464f5c481148261a0beda994a52c1964b090f1fc40a9c51b6caedc95.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/24,Exterior,Ice Cap,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7946/971/ca58181b6e992731b99d491221d62e4a3d3fa845240c4163b9fd86244559ae93.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR5,"$62,425",https://www.toyota.com/configurator/build/step/model/year/2025/series/sequoia/model/7946/?bap_guid=559ebdf9-a33f-49ed-87eb-9f50a34c4d16,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7946/422/ad573086464f5c481148261a0beda994a52c1964b090f1fc40a9c51b6caedc95.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/24,Exterior,Celestial Silver Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7946/422/ad573086464f5c481148261a0beda994a52c1964b090f1fc40a9c51b6caedc95.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR5,"$62,425",https://www.toyota.com/configurator/build/step/model/year/2025/series/sequoia/model/7946/?bap_guid=559ebdf9-a33f-49ed-87eb-9f50a34c4d16,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7946/422/ad573086464f5c481148261a0beda994a52c1964b090f1fc40a9c51b6caedc95.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/24,Exterior,Magnetic Gray Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7946/45/20b02a2d44cc2f68a3abc2443e0b3cf5e56776ac49ed074547d07626c8698e72.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR5,"$62,425",https://www.toyota.com/configurator/build/step/model/year/2025/series/sequoia/model/7946/?bap_guid=559ebdf9-a33f-49ed-87eb-9f50a34c4d16,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7946/422/ad573086464f5c481148261a0beda994a52c1964b090f1fc40a9c51b6caedc95.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/24,Exterior,Midnight Black Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7946/459/e2f6263ba828b21abbda715552e1740aef0b809aecbce0e164217e3e11346340.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR5,"$62,425",https://www.toyota.com/configurator/build/step/model/year/2025/series/sequoia/model/7946/?bap_guid=559ebdf9-a33f-49ed-87eb-9f50a34c4d16,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7946/422/ad573086464f5c481148261a0beda994a52c1964b090f1fc40a9c51b6caedc95.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/24,Exterior,Supersonic Red *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7946/802/a99e6022654bddc982d95a5cd8696979cdb0e42d88ff83a3f7607c1aa43f30e5.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR5,"$62,425",https://www.toyota.com/configurator/build/step/model/year/2025/series/sequoia/model/7946/?bap_guid=559ebdf9-a33f-49ed-87eb-9f50a34c4d16,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7946/422/ad573086464f5c481148261a0beda994a52c1964b090f1fc40a9c51b6caedc95.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/24,Exterior,Lunar Rock,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7946/673/974ad479b512d1f3630f0b2194c0409b86833821bd0c49c45a9a458c91f02ced.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR5,"$62,425",https://www.toyota.com/configurator/build/step/model/year/2025/series/sequoia/model/7946/?bap_guid=559ebdf9-a33f-49ed-87eb-9f50a34c4d16,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7946/422/ad573086464f5c481148261a0beda994a52c1964b090f1fc40a9c51b6caedc95.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/24,Exterior,Terra,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7946/673/974ad479b512d1f3630f0b2194c0409b86833821bd0c49c45a9a458c91f02ced.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR5,"$62,425",https://www.toyota.com/configurator/build/step/model/year/2025/series/sequoia/model/7946/?bap_guid=559ebdf9-a33f-49ed-87eb-9f50a34c4d16,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7946/422/ad573086464f5c481148261a0beda994a52c1964b090f1fc40a9c51b6caedc95.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/24,Interior,Boulder Fabric,Included,
SR5,"$62,425",https://www.toyota.com/configurator/build/step/model/year/2025/series/sequoia/model/7946/?bap_guid=559ebdf9-a33f-49ed-87eb-9f50a34c4d16,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7946/422/ad573086464f5c481148261a0beda994a52c1964b090f1fc40a9c51b6caedc95.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/24,Interior,Boulder SofTex®-trimmed *,Included,
SR5,"$62,425",https://www.toyota.com/configurator/build/step/model/year/2025/series/sequoia/model/7946/?bap_guid=559ebdf9-a33f-49ed-87eb-9f50a34c4d16,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7946/422/ad573086464f5c481148261a0beda994a52c1964b090f1fc40a9c51b6caedc95.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/24,Interior,Black Fabric,Included,
SR5,"$62,425",https://www.toyota.com/configurator/build/step/model/year/2025/series/sequoia/model/7946/?bap_guid=559ebdf9-a33f-49ed-87eb-9f50a34c4d16,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7946/422/ad573086464f5c481148261a0beda994a52c1964b090f1fc40a9c51b6caedc95.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/24,Interior,Black SofTex®-trimmed *,Included,
SR5,"$62,425",https://www.toyota.com/configurator/build/step/model/year/2025/series/sequoia/model/7946/?bap_guid=559ebdf9-a33f-49ed-87eb-9f50a34c4d16,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7946/422/ad573086464f5c481148261a0beda994a52c1964b090f1fc40a9c51b6caedc95.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/24,Engine,i-FORCE MAX Hybrid,Included,
SR5,"$62,425",https://www.toyota.com/configurator/build/step/model/year/2025/series/sequoia/model/7946/?bap_guid=559ebdf9-a33f-49ed-87eb-9f50a34c4d16,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7946/422/ad573086464f5c481148261a0beda994a52c1964b090f1fc40a9c51b6caedc95.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/24,Transmission,10-Speed Electronically Controlled automatic Transmission with intelligence (ECT-i),Included,
SR5,"$62,425",https://www.toyota.com/configurator/build/step/model/year/2025/series/sequoia/model/7946/?bap_guid=559ebdf9-a33f-49ed-87eb-9f50a34c4d16,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7946/422/ad573086464f5c481148261a0beda994a52c1964b090f1fc40a9c51b6caedc95.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/24,Drivetrain,Rear-Wheel Drive,Included,
SR5,"$62,425",https://www.toyota.com/configurator/build/step/model/year/2025/series/sequoia/model/7946/?bap_guid=559ebdf9-a33f-49ed-87eb-9f50a34c4d16,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7946/422/ad573086464f5c481148261a0beda994a52c1964b090f1fc40a9c51b6caedc95.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/24,Drivetrain,4-Wheel Drive,"$3,000 MSRP",
SR5,"$62,425",https://www.toyota.com/configurator/build/step/model/year/2025/series/sequoia/model/7946/?bap_guid=559ebdf9-a33f-49ed-87eb-9f50a34c4d16,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7946/422/ad573086464f5c481148261a0beda994a52c1964b090f1fc40a9c51b6caedc95.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/24,Add-On,SR5 Power Tow Mirrors,$290 MSRP,
SR5,"$62,425",https://www.toyota.com/configurator/build/step/model/year/2025/series/sequoia/model/7946/?bap_guid=559ebdf9-a33f-49ed-87eb-9f50a34c4d16,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7946/422/ad573086464f5c481148261a0beda994a52c1964b090f1fc40a9c51b6caedc95.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/24,Add-On,Heated Leather-Wrapped Steering Wheel,$150 MSRP,
Limited,"$68,825",https://www.toyota.com/configurator/build/step/model/year/2025/series/sequoia/model/7948/?bap_guid=559ebdf9-a33f-49ed-87eb-9f50a34c4d16,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7948/612/270ca7043f92300aab326f01dc76172ac79ad9b0b7182a2f4e4b70707b99f6cf.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/24,Exterior,Wind Chill Pearl *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7948/663/2ef1254fcc0ad794bea27eab26750be8ce4f39cbb5c4175bfad2f41f660f72f1.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Limited,"$68,825",https://www.toyota.com/configurator/build/step/model/year/2025/series/sequoia/model/7948/?bap_guid=559ebdf9-a33f-49ed-87eb-9f50a34c4d16,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7948/612/270ca7043f92300aab326f01dc76172ac79ad9b0b7182a2f4e4b70707b99f6cf.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/24,Exterior,Blueprint,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7948/719/c3662aaf759bde71959cf75bc563a4b0aab510763875e6bb9b6ae6d8193d4255.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Limited,"$68,825",https://www.toyota.com/configurator/build/step/model/year/2025/series/sequoia/model/7948/?bap_guid=559ebdf9-a33f-49ed-87eb-9f50a34c4d16,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7948/612/270ca7043f92300aab326f01dc76172ac79ad9b0b7182a2f4e4b70707b99f6cf.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/24,Exterior,Ice Cap,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7948/115/877cc153456a0b655ba5f1da823a193ad54f6894bad26f9642f443bd04d05f69.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Limited,"$68,825",https://www.toyota.com/configurator/build/step/model/year/2025/series/sequoia/model/7948/?bap_guid=559ebdf9-a33f-49ed-87eb-9f50a34c4d16,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7948/612/270ca7043f92300aab326f01dc76172ac79ad9b0b7182a2f4e4b70707b99f6cf.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/24,Exterior,Celestial Silver Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7948/362/767bc31a6f464dd4fda4f456ba0b0e17b04a45e41fd29781ac5236bbd55e419c.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Limited,"$68,825",https://www.toyota.com/configurator/build/step/model/year/2025/series/sequoia/model/7948/?bap_guid=559ebdf9-a33f-49ed-87eb-9f50a34c4d16,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7948/612/270ca7043f92300aab326f01dc76172ac79ad9b0b7182a2f4e4b70707b99f6cf.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/24,Exterior,Magnetic Gray Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7948/293/3f5c76a50df0729da5f849b8240b7714ea060d67e63666a7b881ab6d5f44b273.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Limited,"$68,825",https://www.toyota.com/configurator/build/step/model/year/2025/series/sequoia/model/7948/?bap_guid=559ebdf9-a33f-49ed-87eb-9f50a34c4d16,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7948/612/270ca7043f92300aab326f01dc76172ac79ad9b0b7182a2f4e4b70707b99f6cf.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/24,Exterior,Midnight Black Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7948/365/5b85f7bdee4b041ff50f6d28c5934a70fd676676e6906ea91a57a7a122bdc4f7.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Limited,"$68,825",https://www.toyota.com/configurator/build/step/model/year/2025/series/sequoia/model/7948/?bap_guid=559ebdf9-a33f-49ed-87eb-9f50a34c4d16,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7948/612/270ca7043f92300aab326f01dc76172ac79ad9b0b7182a2f4e4b70707b99f6cf.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/24,Exterior,Supersonic Red *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7948/612/270ca7043f92300aab326f01dc76172ac79ad9b0b7182a2f4e4b70707b99f6cf.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Limited,"$68,825",https://www.toyota.com/configurator/build/step/model/year/2025/series/sequoia/model/7948/?bap_guid=559ebdf9-a33f-49ed-87eb-9f50a34c4d16,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7948/612/270ca7043f92300aab326f01dc76172ac79ad9b0b7182a2f4e4b70707b99f6cf.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/24,Exterior,Lunar Rock,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7948/718/9cf12676e64e94e69f148282fa56ceb1008cd7cf9246eb1d3a2165586e1e8fb3.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Limited,"$68,825",https://www.toyota.com/configurator/build/step/model/year/2025/series/sequoia/model/7948/?bap_guid=559ebdf9-a33f-49ed-87eb-9f50a34c4d16,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7948/612/270ca7043f92300aab326f01dc76172ac79ad9b0b7182a2f4e4b70707b99f6cf.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/24,Exterior,Terra,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7948/293/3f5c76a50df0729da5f849b8240b7714ea060d67e63666a7b881ab6d5f44b273.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Limited,"$68,825",https://www.toyota.com/configurator/build/step/model/year/2025/series/sequoia/model/7948/?bap_guid=559ebdf9-a33f-49ed-87eb-9f50a34c4d16,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7948/612/270ca7043f92300aab326f01dc76172ac79ad9b0b7182a2f4e4b70707b99f6cf.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/24,Interior,Black SofTex®-trimmed *,Included,
Limited,"$68,825",https://www.toyota.com/configurator/build/step/model/year/2025/series/sequoia/model/7948/?bap_guid=559ebdf9-a33f-49ed-87eb-9f50a34c4d16,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7948/612/270ca7043f92300aab326f01dc76172ac79ad9b0b7182a2f4e4b70707b99f6cf.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/24,Interior,Boulder SofTex®-trimmed *,Included,
