Model,MSRP,Build URL,Image URL_x,MPG,Category,Name,Price/Details,Image URL_y
SR,"$31,590",https://www.toyota.com/configurator/build/step/model/year/2025/series/tacoma/model/7162/?bap_guid=f8ad8f9b-be3b-498a-ad98-b47361a8fda3,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tacoma/7162/59/4c50a70ba4c98d12993af7fb8da8e49fa6510bd8085febb287fb8bbf64924d67.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",20/26,Exterior,Celestial Silver Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tacoma/7162/324/e571d02cfe470c6e732ee819f79579f7b028d22609f9e4ef6b0dd9138474606c.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR,"$31,590",https://www.toyota.com/configurator/build/step/model/year/2025/series/tacoma/model/7162/?bap_guid=f8ad8f9b-be3b-498a-ad98-b47361a8fda3,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tacoma/7162/59/4c50a70ba4c98d12993af7fb8da8e49fa6510bd8085febb287fb8bbf64924d67.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",20/26,Exterior,Ice Cap,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tacoma/7162/59/4c50a70ba4c98d12993af7fb8da8e49fa6510bd8085febb287fb8bbf64924d67.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR,"$31,590",https://www.toyota.com/configurator/build/step/model/year/2025/series/tacoma/model/7162/?bap_guid=f8ad8f9b-be3b-498a-ad98-b47361a8fda3,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tacoma/7162/59/4c50a70ba4c98d12993af7fb8da8e49fa6510bd8085febb287fb8bbf64924d67.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",20/26,Exterior,Underground,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tacoma/7162/5/5face3b5af5a092c0ee66f77bb887cbe86a4879102aa129f47af48ab22c6fc00.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR,"$31,590",https://www.toyota.com/configurator/build/step/model/year/2025/series/tacoma/model/7162/?bap_guid=f8ad8f9b-be3b-498a-ad98-b47361a8fda3,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tacoma/7162/59/4c50a70ba4c98d12993af7fb8da8e49fa6510bd8085febb287fb8bbf64924d67.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",20/26,Exterior,Black,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tacoma/7162/214/b1aa0b2e3d56c29a615573a797cb4b2e0340c29790bc93e5676ecdd9bebb043b.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR,"$31,590",https://www.toyota.com/configurator/build/step/model/year/2025/series/tacoma/model/7162/?bap_guid=f8ad8f9b-be3b-498a-ad98-b47361a8fda3,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tacoma/7162/59/4c50a70ba4c98d12993af7fb8da8e49fa6510bd8085febb287fb8bbf64924d67.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",20/26,Exterior,Supersonic Red *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tacoma/7162/938/c2fba602dc5c7b000fffa4de0bc824bcb599298e1493c25ffbd1d08931db267e.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR,"$31,590",https://www.toyota.com/configurator/build/step/model/year/2025/series/tacoma/model/7162/?bap_guid=f8ad8f9b-be3b-498a-ad98-b47361a8fda3,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tacoma/7162/59/4c50a70ba4c98d12993af7fb8da8e49fa6510bd8085febb287fb8bbf64924d67.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",20/26,Interior,Black Fabric,Included,
SR,"$31,590",https://www.toyota.com/configurator/build/step/model/year/2025/series/tacoma/model/7162/?bap_guid=f8ad8f9b-be3b-498a-ad98-b47361a8fda3,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tacoma/7162/59/4c50a70ba4c98d12993af7fb8da8e49fa6510bd8085febb287fb8bbf64924d67.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",20/26,Engine,i-FORCE 2.4L 4-Cyl. Turbo Engine,Included,
SR,"$31,590",https://www.toyota.com/configurator/build/step/model/year/2025/series/tacoma/model/7162/?bap_guid=f8ad8f9b-be3b-498a-ad98-b47361a8fda3,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tacoma/7162/59/4c50a70ba4c98d12993af7fb8da8e49fa6510bd8085febb287fb8bbf64924d67.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",20/26,Transmission,8-Speed Automatic Transmission,Included,
SR,"$31,590",https://www.toyota.com/configurator/build/step/model/year/2025/series/tacoma/model/7162/?bap_guid=f8ad8f9b-be3b-498a-ad98-b47361a8fda3,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tacoma/7162/59/4c50a70ba4c98d12993af7fb8da8e49fa6510bd8085febb287fb8bbf64924d67.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",20/26,Drivetrain,Rear-Wheel Drive,Included,
SR,"$31,590",https://www.toyota.com/configurator/build/step/model/year/2025/series/tacoma/model/7162/?bap_guid=f8ad8f9b-be3b-498a-ad98-b47361a8fda3,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tacoma/7162/59/4c50a70ba4c98d12993af7fb8da8e49fa6510bd8085febb287fb8bbf64924d67.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",20/26,Drivetrain,4-Wheel Drive,"$3,200 MSRP",
