Model,MSRP,Build URL,Image URL_x,MPG,Category,Name,Price/Details,Image URL_y
XLE,"$43,590",https://www.toyota.com/configurator/build/step/model/year/2025/series/toyotacrownsignia/model/4040/?bap_guid=39c402d9-b94a-4947-a906-caf587092781,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/toyotacrownsignia/4040/558/3914d4fe33b0c185becdeffbb94d44c217ea9f9eb213ebfb8577bc399d4ed11f.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",39/37,Exterior,Storm Cloud,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/toyotacrownsignia/4040/538/6a9082b2249ea071fe48bae6a94f86c4f2a106a6ea0bee136fc7c3c6fb3e4651.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,"$43,590",https://www.toyota.com/configurator/build/step/model/year/2025/series/toyotacrownsignia/model/4040/?bap_guid=39c402d9-b94a-4947-a906-caf587092781,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/toyotacrownsignia/4040/558/3914d4fe33b0c185becdeffbb94d44c217ea9f9eb213ebfb8577bc399d4ed11f.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",39/37,Exterior,Bronze Age *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/toyotacrownsignia/4040/558/3914d4fe33b0c185becdeffbb94d44c217ea9f9eb213ebfb8577bc399d4ed11f.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,"$43,590",https://www.toyota.com/configurator/build/step/model/year/2025/series/toyotacrownsignia/model/4040/?bap_guid=39c402d9-b94a-4947-a906-caf587092781,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/toyotacrownsignia/4040/558/3914d4fe33b0c185becdeffbb94d44c217ea9f9eb213ebfb8577bc399d4ed11f.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",39/37,Exterior,Finish Line Red *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/toyotacrownsignia/4040/54/6a55b9eefe90b6586680fe560827c17252d15f643db50f3554b784e1bb8ae696.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,"$43,590",https://www.toyota.com/configurator/build/step/model/year/2025/series/toyotacrownsignia/model/4040/?bap_guid=39c402d9-b94a-4947-a906-caf587092781,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/toyotacrownsignia/4040/558/3914d4fe33b0c185becdeffbb94d44c217ea9f9eb213ebfb8577bc399d4ed11f.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",39/37,Exterior,Oxygen White *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/toyotacrownsignia/4040/142/1f35bf8e1d56e772373d04017c47b71e71b1562ce2f07dfd5c2be3f8bd40a975.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,"$43,590",https://www.toyota.com/configurator/build/step/model/year/2025/series/toyotacrownsignia/model/4040/?bap_guid=39c402d9-b94a-4947-a906-caf587092781,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/toyotacrownsignia/4040/558/3914d4fe33b0c185becdeffbb94d44c217ea9f9eb213ebfb8577bc399d4ed11f.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",39/37,Exterior,Black,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/toyotacrownsignia/4040/514/f1df0b722afedd8e84d8a829532d3da2479140ee80aff862224999f864addf5d.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,"$43,590",https://www.toyota.com/configurator/build/step/model/year/2025/series/toyotacrownsignia/model/4040/?bap_guid=39c402d9-b94a-4947-a906-caf587092781,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/toyotacrownsignia/4040/558/3914d4fe33b0c185becdeffbb94d44c217ea9f9eb213ebfb8577bc399d4ed11f.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",39/37,Interior,Black Leather,Included,
XLE,"$43,590",https://www.toyota.com/configurator/build/step/model/year/2025/series/toyotacrownsignia/model/4040/?bap_guid=39c402d9-b94a-4947-a906-caf587092781,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/toyotacrownsignia/4040/558/3914d4fe33b0c185becdeffbb94d44c217ea9f9eb213ebfb8577bc399d4ed11f.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",39/37,Interior,Saddle Tan Leather,Included,
XLE,"$43,590",https://www.toyota.com/configurator/build/step/model/year/2025/series/toyotacrownsignia/model/4040/?bap_guid=39c402d9-b94a-4947-a906-caf587092781,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/toyotacrownsignia/4040/558/3914d4fe33b0c185becdeffbb94d44c217ea9f9eb213ebfb8577bc399d4ed11f.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",39/37,Engine,2.5L 4-Cyl. Hybrid Engine,Included,
XLE,"$43,590",https://www.toyota.com/configurator/build/step/model/year/2025/series/toyotacrownsignia/model/4040/?bap_guid=39c402d9-b94a-4947-a906-caf587092781,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/toyotacrownsignia/4040/558/3914d4fe33b0c185becdeffbb94d44c217ea9f9eb213ebfb8577bc399d4ed11f.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",39/37,Transmission,Electronically controlled Continuously Variable Transmission (ECVT),Included,
XLE,"$43,590",https://www.toyota.com/configurator/build/step/model/year/2025/series/toyotacrownsignia/model/4040/?bap_guid=39c402d9-b94a-4947-a906-caf587092781,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/toyotacrownsignia/4040/558/3914d4fe33b0c185becdeffbb94d44c217ea9f9eb213ebfb8577bc399d4ed11f.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",39/37,Drivetrain,All-Wheel Drive,Included,
