Model,MSRP,Build URL,Image URL_x,MPG,Category,Name,Price/Details,Image URL_y
SR,"$40,090",https://www.toyota.com/configurator/build/step/model/year/2025/series/tundra/model/8242/?bap_guid=89fc525f-b6eb-4757-9b61-a454c15b0c0a,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundra/8242/243/821770a3b2775e93885a7b963ab25094a3691bbe4310c80f535b8d71a3191038.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",18/23,Exterior,Ice Cap,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundra/8242/894/8904103ef238765cdd32c70e0874fd97c55ab03e4f75deb240dc9d9cc464bc31.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR,"$40,090",https://www.toyota.com/configurator/build/step/model/year/2025/series/tundra/model/8242/?bap_guid=89fc525f-b6eb-4757-9b61-a454c15b0c0a,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundra/8242/243/821770a3b2775e93885a7b963ab25094a3691bbe4310c80f535b8d71a3191038.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",18/23,Exterior,Magnetic Gray Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundra/8242/73/ad2378e10dbdd8a996ec7eeb7eaa5f7cc65ee7e8473555654dc5aae6c5f49fa4.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR,"$40,090",https://www.toyota.com/configurator/build/step/model/year/2025/series/tundra/model/8242/?bap_guid=89fc525f-b6eb-4757-9b61-a454c15b0c0a,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundra/8242/243/821770a3b2775e93885a7b963ab25094a3691bbe4310c80f535b8d71a3191038.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",18/23,Exterior,Celestial Silver Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundra/8242/243/821770a3b2775e93885a7b963ab25094a3691bbe4310c80f535b8d71a3191038.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR,"$40,090",https://www.toyota.com/configurator/build/step/model/year/2025/series/tundra/model/8242/?bap_guid=89fc525f-b6eb-4757-9b61-a454c15b0c0a,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundra/8242/243/821770a3b2775e93885a7b963ab25094a3691bbe4310c80f535b8d71a3191038.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",18/23,Exterior,Midnight Black Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundra/8242/597/efbcc41df7100acfa294aa183ea44e1c56b02c419cb047f553581b35862f8ba3.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR,"$40,090",https://www.toyota.com/configurator/build/step/model/year/2025/series/tundra/model/8242/?bap_guid=89fc525f-b6eb-4757-9b61-a454c15b0c0a,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundra/8242/243/821770a3b2775e93885a7b963ab25094a3691bbe4310c80f535b8d71a3191038.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",18/23,Exterior,Supersonic Red *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundra/8242/270/bc4c980e283dc4f33d33962717b68e975c14283050401f7d63a0b30975814c7a.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR,"$40,090",https://www.toyota.com/configurator/build/step/model/year/2025/series/tundra/model/8242/?bap_guid=89fc525f-b6eb-4757-9b61-a454c15b0c0a,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundra/8242/243/821770a3b2775e93885a7b963ab25094a3691bbe4310c80f535b8d71a3191038.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",18/23,Interior,Black Fabric,Included,
SR,"$40,090",https://www.toyota.com/configurator/build/step/model/year/2025/series/tundra/model/8242/?bap_guid=89fc525f-b6eb-4757-9b61-a454c15b0c0a,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundra/8242/243/821770a3b2775e93885a7b963ab25094a3691bbe4310c80f535b8d71a3191038.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",18/23,Engine,i-FORCE V6 Engine,Included,
SR,"$40,090",https://www.toyota.com/configurator/build/step/model/year/2025/series/tundra/model/8242/?bap_guid=89fc525f-b6eb-4757-9b61-a454c15b0c0a,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundra/8242/243/821770a3b2775e93885a7b963ab25094a3691bbe4310c80f535b8d71a3191038.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",18/23,Transmission,10-Speed Electronically Controlled automatic Transmission with intelligence (ECT-i) and sequential shift mode,Included,
SR,"$40,090",https://www.toyota.com/configurator/build/step/model/year/2025/series/tundra/model/8242/?bap_guid=89fc525f-b6eb-4757-9b61-a454c15b0c0a,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundra/8242/243/821770a3b2775e93885a7b963ab25094a3691bbe4310c80f535b8d71a3191038.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",18/23,Drivetrain,Rear-Wheel Drive,Included,
SR,"$40,090",https://www.toyota.com/configurator/build/step/model/year/2025/series/tundra/model/8242/?bap_guid=89fc525f-b6eb-4757-9b61-a454c15b0c0a,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundra/8242/243/821770a3b2775e93885a7b963ab25094a3691bbe4310c80f535b8d71a3191038.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",18/23,Drivetrain,4-Wheel Drive,"$3,000 MSRP",
SR5,"$45,960",https://www.toyota.com/configurator/build/step/model/year/2025/series/tundra/model/8241/?bap_guid=89fc525f-b6eb-4757-9b61-a454c15b0c0a,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundra/8241/2/9aa1e44aa722cf4bdfb7798164cf376de736c8174368a9d1401587ad9fed4b70.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",18/23,Exterior,Ice Cap,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundra/8241/2/9aa1e44aa722cf4bdfb7798164cf376de736c8174368a9d1401587ad9fed4b70.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR5,"$45,960",https://www.toyota.com/configurator/build/step/model/year/2025/series/tundra/model/8241/?bap_guid=89fc525f-b6eb-4757-9b61-a454c15b0c0a,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundra/8241/2/9aa1e44aa722cf4bdfb7798164cf376de736c8174368a9d1401587ad9fed4b70.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",18/23,Exterior,Magnetic Gray Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundra/8241/470/990a3ebe2968db9e87137e77a59a46115e29b33722e5ff8fd134b005a2549529.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
