Model,MSRP,Build URL,Image URL_x,MPG,Category,Name,Price/Details,Image URL_y
LE,"$22,050",https://www.toyota.com/configurator/build/step/model/year/2024/series/corolla/model/1852/?bap_guid=45983313-8f23-4c04-a75e-badc907008fc,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/corolla/1852/497/f0e2485920a772633e0f278ac38107ff5d643e610cd9238af22bdf7def0e8ccc.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",32/41,Exterior,Midnight Black Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/corolla/1852/948/470862ec98e91b95edacd60d62e51926867c9c45e398b445e17126e9f811e235.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,"$22,050",https://www.toyota.com/configurator/build/step/model/year/2024/series/corolla/model/1852/?bap_guid=45983313-8f23-4c04-a75e-badc907008fc,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/corolla/1852/497/f0e2485920a772633e0f278ac38107ff5d643e610cd9238af22bdf7def0e8ccc.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",32/41,Exterior,Ruby Flare Pearl *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/corolla/1852/121/eb664ce9200f622a14ba08dedbb60a5ed7fe4b63d7ec23886ed0e4ec91fc440a.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,"$22,050",https://www.toyota.com/configurator/build/step/model/year/2024/series/corolla/model/1852/?bap_guid=45983313-8f23-4c04-a75e-badc907008fc,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/corolla/1852/497/f0e2485920a772633e0f278ac38107ff5d643e610cd9238af22bdf7def0e8ccc.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",32/41,Exterior,Wind Chill Pearl *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/corolla/1852/497/f0e2485920a772633e0f278ac38107ff5d643e610cd9238af22bdf7def0e8ccc.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,"$22,050",https://www.toyota.com/configurator/build/step/model/year/2024/series/corolla/model/1852/?bap_guid=45983313-8f23-4c04-a75e-badc907008fc,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/corolla/1852/497/f0e2485920a772633e0f278ac38107ff5d643e610cd9238af22bdf7def0e8ccc.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",32/41,Exterior,Ice Cap,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/corolla/1852/795/cddac5eba494bb4a33cd821cf77e7fdf95af544ddfe8919b9aef079754dde91a.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,"$22,050",https://www.toyota.com/configurator/build/step/model/year/2024/series/corolla/model/1852/?bap_guid=45983313-8f23-4c04-a75e-badc907008fc,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/corolla/1852/497/f0e2485920a772633e0f278ac38107ff5d643e610cd9238af22bdf7def0e8ccc.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",32/41,Exterior,Classic Silver Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/corolla/1852/307/63cf59bb155bf3885e5d7ea10d053db3f542c90543b607bfcc19430c00797a20.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,"$22,050",https://www.toyota.com/configurator/build/step/model/year/2024/series/corolla/model/1852/?bap_guid=45983313-8f23-4c04-a75e-badc907008fc,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/corolla/1852/497/f0e2485920a772633e0f278ac38107ff5d643e610cd9238af22bdf7def0e8ccc.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",32/41,Exterior,Celestite,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/corolla/1852/185/ab231959557b0458ec9b80a205362e98a07044b03abde3d10978de2d1faf48fa.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,"$22,050",https://www.toyota.com/configurator/build/step/model/year/2024/series/corolla/model/1852/?bap_guid=45983313-8f23-4c04-a75e-badc907008fc,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/corolla/1852/497/f0e2485920a772633e0f278ac38107ff5d643e610cd9238af22bdf7def0e8ccc.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",32/41,Exterior,Underground,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/corolla/1852/197/d3fcdce5f3bccfb14d09c200a19a774384d22abe81fb76469f1f1a448c169d75.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,"$22,050",https://www.toyota.com/configurator/build/step/model/year/2024/series/corolla/model/1852/?bap_guid=45983313-8f23-4c04-a75e-badc907008fc,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/corolla/1852/497/f0e2485920a772633e0f278ac38107ff5d643e610cd9238af22bdf7def0e8ccc.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",32/41,Exterior,Blueprint,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/corolla/1852/11/6d317dcb157ae205ac492a854bb8c488b2aeed736144590d624c6b6b66981cd7.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,"$22,050",https://www.toyota.com/configurator/build/step/model/year/2024/series/corolla/model/1852/?bap_guid=45983313-8f23-4c04-a75e-badc907008fc,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/corolla/1852/497/f0e2485920a772633e0f278ac38107ff5d643e610cd9238af22bdf7def0e8ccc.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",32/41,Interior,Light Gray Fabric,Included,
LE,"$22,050",https://www.toyota.com/configurator/build/step/model/year/2024/series/corolla/model/1852/?bap_guid=45983313-8f23-4c04-a75e-badc907008fc,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/corolla/1852/497/f0e2485920a772633e0f278ac38107ff5d643e610cd9238af22bdf7def0e8ccc.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",32/41,Interior,Black Fabric,Included,
