Model,MSRP,Build URL,Image URL_x,MPG,Category,Name,Price/Details,Image URL_y
SE,"$32,975",https://www.toyota.com/configurator/build/step/model/year/2024/series/priusprime/model/1235/?bap_guid=966f9e6e-1ab3-4ccd-be41-60f33bcb407f,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/priusprime/1235/777/64fad7891e9aa6e827febfa47d307e9649a5b13f0433e1d666a4f6d06c7d7228.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",52/127,Exterior,Guardian Gray,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/priusprime/1235/925/8cf96e3d05231cfd8402dfc1900707dfe394996b82d440ccab59e063af6505b0.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SE,"$32,975",https://www.toyota.com/configurator/build/step/model/year/2024/series/priusprime/model/1235/?bap_guid=966f9e6e-1ab3-4ccd-be41-60f33bcb407f,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/priusprime/1235/777/64fad7891e9aa6e827febfa47d307e9649a5b13f0433e1d666a4f6d06c7d7228.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",52/127,Exterior,Cutting Edge,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/priusprime/1235/556/bbe68074ea87e6bf9c12db30af97fbd553966d287920a79b19dd2fe81eea11f0.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SE,"$32,975",https://www.toyota.com/configurator/build/step/model/year/2024/series/priusprime/model/1235/?bap_guid=966f9e6e-1ab3-4ccd-be41-60f33bcb407f,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/priusprime/1235/777/64fad7891e9aa6e827febfa47d307e9649a5b13f0433e1d666a4f6d06c7d7228.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",52/127,Exterior,Midnight Black Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/priusprime/1235/14/78dbd99eb87448e048c922be2b31b0e3a4f42279d64efca56bb1f82f2ea8c146.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SE,"$32,975",https://www.toyota.com/configurator/build/step/model/year/2024/series/priusprime/model/1235/?bap_guid=966f9e6e-1ab3-4ccd-be41-60f33bcb407f,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/priusprime/1235/777/64fad7891e9aa6e827febfa47d307e9649a5b13f0433e1d666a4f6d06c7d7228.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",52/127,Exterior,Supersonic Red *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/priusprime/1235/345/f139aad930cf1754bac44ecf46c77a0dfb2f4d9b0a0b0ed92de0bd3e746f61cf.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SE,"$32,975",https://www.toyota.com/configurator/build/step/model/year/2024/series/priusprime/model/1235/?bap_guid=966f9e6e-1ab3-4ccd-be41-60f33bcb407f,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/priusprime/1235/777/64fad7891e9aa6e827febfa47d307e9649a5b13f0433e1d666a4f6d06c7d7228.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",52/127,Exterior,Wind Chill Pearl *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/priusprime/1235/777/64fad7891e9aa6e827febfa47d307e9649a5b13f0433e1d666a4f6d06c7d7228.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SE,"$32,975",https://www.toyota.com/configurator/build/step/model/year/2024/series/priusprime/model/1235/?bap_guid=966f9e6e-1ab3-4ccd-be41-60f33bcb407f,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/priusprime/1235/777/64fad7891e9aa6e827febfa47d307e9649a5b13f0433e1d666a4f6d06c7d7228.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",52/127,Exterior,Reservoir Blue,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/priusprime/1235/635/b343080b51d06bcef732478e8f31bb6038a173899a2f5e0ffc32290e105edf08.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SE,"$32,975",https://www.toyota.com/configurator/build/step/model/year/2024/series/priusprime/model/1235/?bap_guid=966f9e6e-1ab3-4ccd-be41-60f33bcb407f,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/priusprime/1235/777/64fad7891e9aa6e827febfa47d307e9649a5b13f0433e1d666a4f6d06c7d7228.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",52/127,Interior,Black and Red Fabric,Included,
SE,"$32,975",https://www.toyota.com/configurator/build/step/model/year/2024/series/priusprime/model/1235/?bap_guid=966f9e6e-1ab3-4ccd-be41-60f33bcb407f,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/priusprime/1235/777/64fad7891e9aa6e827febfa47d307e9649a5b13f0433e1d666a4f6d06c7d7228.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",52/127,Engine,2.0L 4-cyl. Plug-in Hybrid Engine,Included,
SE,"$32,975",https://www.toyota.com/configurator/build/step/model/year/2024/series/priusprime/model/1235/?bap_guid=966f9e6e-1ab3-4ccd-be41-60f33bcb407f,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/priusprime/1235/777/64fad7891e9aa6e827febfa47d307e9649a5b13f0433e1d666a4f6d06c7d7228.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",52/127,Transmission,Electronically controlled Continuously Variable Transmission (ECVT),Included,
SE,"$32,975",https://www.toyota.com/configurator/build/step/model/year/2024/series/priusprime/model/1235/?bap_guid=966f9e6e-1ab3-4ccd-be41-60f33bcb407f,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/priusprime/1235/777/64fad7891e9aa6e827febfa47d307e9649a5b13f0433e1d666a4f6d06c7d7228.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",52/127,Drivetrain,Front-Wheel Drive,Included,
