Model,MSRP,Build URL,Image URL_x,MPG,Category,Name,Price/Details,Image URL_y
LE,"$28,700",https://www.toyota.com/configurator/build/step/model/year/2025/series/camry/model/2552/?bap_guid=43dda884-2d6c-4609-aedc-64e9e6012615,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/camry/2559/659/e3821b23edfa15158b611d4d7d62a8e07dc36a4b1c1f67f24c023d47049c5077.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",53/50,Exterior,Ocean Gem,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/camry/2552/141/1f0fb5457af60061cb34b9821cf80a77bde9715b032b9e715015dcde83f33d34.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,"$28,700",https://www.toyota.com/configurator/build/step/model/year/2025/series/camry/model/2552/?bap_guid=43dda884-2d6c-4609-aedc-64e9e6012615,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/camry/2559/659/e3821b23edfa15158b611d4d7d62a8e07dc36a4b1c1f67f24c023d47049c5077.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",53/50,Exterior,Ice Cap,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/camry/2552/799/a23cfc87457bc53fd2f5ff7add458ca2b1454f56c3f43621b75e4bc0352b622b.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,"$28,700",https://www.toyota.com/configurator/build/step/model/year/2025/series/camry/model/2552/?bap_guid=43dda884-2d6c-4609-aedc-64e9e6012615,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/camry/2559/659/e3821b23edfa15158b611d4d7d62a8e07dc36a4b1c1f67f24c023d47049c5077.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",53/50,Exterior,Celestial Silver Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/camry/2552/281/2796387917ac4a32c188dc2c5790c5338b8a677cc4e4dd3893c7e2926e2791bc.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,"$28,700",https://www.toyota.com/configurator/build/step/model/year/2025/series/camry/model/2552/?bap_guid=43dda884-2d6c-4609-aedc-64e9e6012615,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/camry/2559/659/e3821b23edfa15158b611d4d7d62a8e07dc36a4b1c1f67f24c023d47049c5077.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",53/50,Exterior,Midnight Black Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/camry/2552/971/36b6ed53266a32a65f6aed9ab71cfab45edc6345a8dcf244c8c239dbd4790e58.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,"$28,700",https://www.toyota.com/configurator/build/step/model/year/2025/series/camry/model/2552/?bap_guid=43dda884-2d6c-4609-aedc-64e9e6012615,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/camry/2559/659/e3821b23edfa15158b611d4d7d62a8e07dc36a4b1c1f67f24c023d47049c5077.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",53/50,Exterior,Reservoir Blue,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/camry/2552/127/dacac2676d4b61a157d9611a7be68cd2697ab58ab92f0a4a3abc50dbdd29680d.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,"$28,700",https://www.toyota.com/configurator/build/step/model/year/2025/series/camry/model/2552/?bap_guid=43dda884-2d6c-4609-aedc-64e9e6012615,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/camry/2559/659/e3821b23edfa15158b611d4d7d62a8e07dc36a4b1c1f67f24c023d47049c5077.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",53/50,Exterior,Supersonic Red *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/camry/2552/239/dd303d9f58fdd7bfcc296362695469f9ee5760d0bd0395e206cd1ab11bba3380.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,"$28,700",https://www.toyota.com/configurator/build/step/model/year/2025/series/camry/model/2552/?bap_guid=43dda884-2d6c-4609-aedc-64e9e6012615,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/camry/2559/659/e3821b23edfa15158b611d4d7d62a8e07dc36a4b1c1f67f24c023d47049c5077.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",53/50,Exterior,Underground,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/camry/2552/438/010a2a6e55dfc170e40cf4a40077540c34fb040e59eccda1d1daea1b43c9ea76.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,"$28,700",https://www.toyota.com/configurator/build/step/model/year/2025/series/camry/model/2552/?bap_guid=43dda884-2d6c-4609-aedc-64e9e6012615,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/camry/2559/659/e3821b23edfa15158b611d4d7d62a8e07dc36a4b1c1f67f24c023d47049c5077.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",53/50,Interior,Black,Included,
LE,"$28,700",https://www.toyota.com/configurator/build/step/model/year/2025/series/camry/model/2552/?bap_guid=43dda884-2d6c-4609-aedc-64e9e6012615,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/camry/2559/659/e3821b23edfa15158b611d4d7d62a8e07dc36a4b1c1f67f24c023d47049c5077.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",53/50,Interior,Boulder,Included,
LE,"$28,700",https://www.toyota.com/configurator/build/step/model/year/2025/series/camry/model/2552/?bap_guid=43dda884-2d6c-4609-aedc-64e9e6012615,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/camry/2559/659/e3821b23edfa15158b611d4d7d62a8e07dc36a4b1c1f67f24c023d47049c5077.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",53/50,Engine,2.5L 4-Cyl. Gas/Electric Hybrid,Included,
