Model,MSRP,Build URL,Image URL_x,MPG,Category,Name,Price/Details,Image URL_y
GR86,"$30,000",https://www.toyota.com/configurator/build/step/model/year/2025/series/gr86/model/6252/?bap_guid=cf465bde-c45a-4f9e-abcb-8222d7d3bbf7,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/gr86/6253/826/ac0b224acd12bc8cd11023a6c9b3606d0393031acf944dc71e247914796fae3a.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",20/26,Exterior,Raven,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/gr86/6252/451/f87df98b50fc7b1b0825e72a65cc7cd1291ac5d2183e105aece2ce2d27147f1b.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
GR86,"$30,000",https://www.toyota.com/configurator/build/step/model/year/2025/series/gr86/model/6252/?bap_guid=cf465bde-c45a-4f9e-abcb-8222d7d3bbf7,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/gr86/6253/826/ac0b224acd12bc8cd11023a6c9b3606d0393031acf944dc71e247914796fae3a.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",20/26,Exterior,Pavement,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/gr86/6252/124/e38c65c4b1fcad344cc2d3b7d35c590ca96d1d81dcf346f49502d49987e7d5ad.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
GR86,"$30,000",https://www.toyota.com/configurator/build/step/model/year/2025/series/gr86/model/6252/?bap_guid=cf465bde-c45a-4f9e-abcb-8222d7d3bbf7,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/gr86/6253/826/ac0b224acd12bc8cd11023a6c9b3606d0393031acf944dc71e247914796fae3a.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",20/26,Exterior,Steel,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/gr86/6252/348/5ef13dfc5f189663440f5a9d182cce725ce06ad57bf4f949b35f74e86f88bee6.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
GR86,"$30,000",https://www.toyota.com/configurator/build/step/model/year/2025/series/gr86/model/6252/?bap_guid=cf465bde-c45a-4f9e-abcb-8222d7d3bbf7,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/gr86/6253/826/ac0b224acd12bc8cd11023a6c9b3606d0393031acf944dc71e247914796fae3a.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",20/26,Exterior,Halo *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/gr86/6252/178/e01b4f625011e2adec128a50eed5597efd94dc12a637ecfe03a36034464ead97.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
GR86,"$30,000",https://www.toyota.com/configurator/build/step/model/year/2025/series/gr86/model/6252/?bap_guid=cf465bde-c45a-4f9e-abcb-8222d7d3bbf7,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/gr86/6253/826/ac0b224acd12bc8cd11023a6c9b3606d0393031acf944dc71e247914796fae3a.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",20/26,Exterior,Trueno Blue,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/gr86/6252/642/801800828ace4226907ed111f36bc4f1c7b12d9d8db016f1596c4c00e8eafb67.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
GR86,"$30,000",https://www.toyota.com/configurator/build/step/model/year/2025/series/gr86/model/6252/?bap_guid=cf465bde-c45a-4f9e-abcb-8222d7d3bbf7,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/gr86/6253/826/ac0b224acd12bc8cd11023a6c9b3606d0393031acf944dc71e247914796fae3a.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",20/26,Exterior,Track bRED *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/gr86/6252/238/fe08c78ecfbe552015e7263b0f357839101c307a1712fc37a9ab58d4d4c1d853.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
GR86,"$30,000",https://www.toyota.com/configurator/build/step/model/year/2025/series/gr86/model/6252/?bap_guid=cf465bde-c45a-4f9e-abcb-8222d7d3bbf7,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/gr86/6253/826/ac0b224acd12bc8cd11023a6c9b3606d0393031acf944dc71e247914796fae3a.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",20/26,Interior,Black Fabric,Included,
GR86,"$30,000",https://www.toyota.com/configurator/build/step/model/year/2025/series/gr86/model/6252/?bap_guid=cf465bde-c45a-4f9e-abcb-8222d7d3bbf7,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/gr86/6253/826/ac0b224acd12bc8cd11023a6c9b3606d0393031acf944dc71e247914796fae3a.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",20/26,Engine,2.4L 4-Cyl. Engine,Included,
GR86,"$30,000",https://www.toyota.com/configurator/build/step/model/year/2025/series/gr86/model/6252/?bap_guid=cf465bde-c45a-4f9e-abcb-8222d7d3bbf7,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/gr86/6253/826/ac0b224acd12bc8cd11023a6c9b3606d0393031acf944dc71e247914796fae3a.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",20/26,Transmission,6-Speed Electronically Controlled automatic Transmission (ECT) with paddle shifters,Included,
GR86,"$30,000",https://www.toyota.com/configurator/build/step/model/year/2025/series/gr86/model/6252/?bap_guid=cf465bde-c45a-4f9e-abcb-8222d7d3bbf7,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/gr86/6253/826/ac0b224acd12bc8cd11023a6c9b3606d0393031acf944dc71e247914796fae3a.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",20/26,Drivetrain,Rear-Wheel Drive,Included,
GR86 Premium,"$32,600",https://www.toyota.com/configurator/build/step/model/year/2025/series/gr86/model/6254/?bap_guid=cf465bde-c45a-4f9e-abcb-8222d7d3bbf7,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/gr86/6255/931/c4c38ceb49df8275290c9d28e050d6a7cef215e6ea6578c4cfe5bbe720e6e407.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",20/26,Exterior,Raven,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/gr86/6254/175/72c365af07d010540bcbe46ca8043fa544c6487909e2ac20ac5d51a143e61a30.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
