Model,MSRP,Build URL,Image URL_x,MPG,Category,Name,Price/Details,Image URL_y
Hybrid XLE,"$45,380",https://www.toyota.com/configurator/build/step/model/year/2025/series/grandhighlanderhybrid/model/6716/?srchid=SEM%3A700000001483657%3AMICROSOFT%3A71700000112709583%3A58700008485496776%3Ap77316727437%3A&gclid=e69f1664fbdd1327491e71f5a3572a73&gclsrc=3p.ds&msclkid=e69f1664fbdd1327491e71f5a3572a73&utm_source=bing&utm_medium=cpc&utm_campaign=Model_Grand_Highlander_Hybrid_T1&utm_term=toyota+grand+highlander+hybrid+build&utm_content=Model_Grand_Highlander_Hybrid_Build+&+Price_Phrase=&gclid=e69f1664fbdd1327491e71f5a3572a73&gclsrc=3p.ds&bap_guid=cef15091-0882-48a9-814f-dc664e245a36,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grandhighlanderhybrid/6716/330/9ac5b58ab6010fb349f65d7a5916ccbdb357689834d6be3efe0ea8923f97fe27.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",37/34,Exterior,Celestial Silver Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grandhighlanderhybrid/6716/449/a8af631130fee51d97ecdd011227c809fb24c814baccd2da5d0b13ef3fb40d0d.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid XLE,"$45,380",https://www.toyota.com/configurator/build/step/model/year/2025/series/grandhighlanderhybrid/model/6716/?srchid=SEM%3A700000001483657%3AMICROSOFT%3A71700000112709583%3A58700008485496776%3Ap77316727437%3A&gclid=e69f1664fbdd1327491e71f5a3572a73&gclsrc=3p.ds&msclkid=e69f1664fbdd1327491e71f5a3572a73&utm_source=bing&utm_medium=cpc&utm_campaign=Model_Grand_Highlander_Hybrid_T1&utm_term=toyota+grand+highlander+hybrid+build&utm_content=Model_Grand_Highlander_Hybrid_Build+&+Price_Phrase=&gclid=e69f1664fbdd1327491e71f5a3572a73&gclsrc=3p.ds&bap_guid=cef15091-0882-48a9-814f-dc664e245a36,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grandhighlanderhybrid/6716/330/9ac5b58ab6010fb349f65d7a5916ccbdb357689834d6be3efe0ea8923f97fe27.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",37/34,Exterior,Storm Cloud,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grandhighlanderhybrid/6716/268/f06658e48b9f3e49782de13c7f6462c44a2e412d348073bb301372f37fcbf9cb.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid XLE,"$45,380",https://www.toyota.com/configurator/build/step/model/year/2025/series/grandhighlanderhybrid/model/6716/?srchid=SEM%3A700000001483657%3AMICROSOFT%3A71700000112709583%3A58700008485496776%3Ap77316727437%3A&gclid=e69f1664fbdd1327491e71f5a3572a73&gclsrc=3p.ds&msclkid=e69f1664fbdd1327491e71f5a3572a73&utm_source=bing&utm_medium=cpc&utm_campaign=Model_Grand_Highlander_Hybrid_T1&utm_term=toyota+grand+highlander+hybrid+build&utm_content=Model_Grand_Highlander_Hybrid_Build+&+Price_Phrase=&gclid=e69f1664fbdd1327491e71f5a3572a73&gclsrc=3p.ds&bap_guid=cef15091-0882-48a9-814f-dc664e245a36,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grandhighlanderhybrid/6716/330/9ac5b58ab6010fb349f65d7a5916ccbdb357689834d6be3efe0ea8923f97fe27.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",37/34,Exterior,Wind Chill Pearl *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grandhighlanderhybrid/6716/835/92f457f3012062d4223d42926be05327508ea9ac0917bee3518ea0222f7251cc.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid XLE,"$45,380",https://www.toyota.com/configurator/build/step/model/year/2025/series/grandhighlanderhybrid/model/6716/?srchid=SEM%3A700000001483657%3AMICROSOFT%3A71700000112709583%3A58700008485496776%3Ap77316727437%3A&gclid=e69f1664fbdd1327491e71f5a3572a73&gclsrc=3p.ds&msclkid=e69f1664fbdd1327491e71f5a3572a73&utm_source=bing&utm_medium=cpc&utm_campaign=Model_Grand_Highlander_Hybrid_T1&utm_term=toyota+grand+highlander+hybrid+build&utm_content=Model_Grand_Highlander_Hybrid_Build+&+Price_Phrase=&gclid=e69f1664fbdd1327491e71f5a3572a73&gclsrc=3p.ds&bap_guid=cef15091-0882-48a9-814f-dc664e245a36,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grandhighlanderhybrid/6716/330/9ac5b58ab6010fb349f65d7a5916ccbdb357689834d6be3efe0ea8923f97fe27.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",37/34,Exterior,Ruby Flare Pearl *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grandhighlanderhybrid/6716/632/65b457407cb60db8d426992eab4908595dabed59d48d99c579ddb792d28af9b0.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid XLE,"$45,380",https://www.toyota.com/configurator/build/step/model/year/2025/series/grandhighlanderhybrid/model/6716/?srchid=SEM%3A700000001483657%3AMICROSOFT%3A71700000112709583%3A58700008485496776%3Ap77316727437%3A&gclid=e69f1664fbdd1327491e71f5a3572a73&gclsrc=3p.ds&msclkid=e69f1664fbdd1327491e71f5a3572a73&utm_source=bing&utm_medium=cpc&utm_campaign=Model_Grand_Highlander_Hybrid_T1&utm_term=toyota+grand+highlander+hybrid+build&utm_content=Model_Grand_Highlander_Hybrid_Build+&+Price_Phrase=&gclid=e69f1664fbdd1327491e71f5a3572a73&gclsrc=3p.ds&bap_guid=cef15091-0882-48a9-814f-dc664e245a36,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grandhighlanderhybrid/6716/330/9ac5b58ab6010fb349f65d7a5916ccbdb357689834d6be3efe0ea8923f97fe27.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",37/34,Exterior,Midnight Black Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grandhighlanderhybrid/6716/566/6fddc7beb0a3280421b585baea97c2d637307ce3d758f1a8d4c8b751aa46b3e3.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid XLE,"$45,380",https://www.toyota.com/configurator/build/step/model/year/2025/series/grandhighlanderhybrid/model/6716/?srchid=SEM%3A700000001483657%3AMICROSOFT%3A71700000112709583%3A58700008485496776%3Ap77316727437%3A&gclid=e69f1664fbdd1327491e71f5a3572a73&gclsrc=3p.ds&msclkid=e69f1664fbdd1327491e71f5a3572a73&utm_source=bing&utm_medium=cpc&utm_campaign=Model_Grand_Highlander_Hybrid_T1&utm_term=toyota+grand+highlander+hybrid+build&utm_content=Model_Grand_Highlander_Hybrid_Build+&+Price_Phrase=&gclid=e69f1664fbdd1327491e71f5a3572a73&gclsrc=3p.ds&bap_guid=cef15091-0882-48a9-814f-dc664e245a36,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grandhighlanderhybrid/6716/330/9ac5b58ab6010fb349f65d7a5916ccbdb357689834d6be3efe0ea8923f97fe27.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",37/34,Exterior,Blueprint,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grandhighlanderhybrid/6716/330/9ac5b58ab6010fb349f65d7a5916ccbdb357689834d6be3efe0ea8923f97fe27.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid XLE,"$45,380",https://www.toyota.com/configurator/build/step/model/year/2025/series/grandhighlanderhybrid/model/6716/?srchid=SEM%3A700000001483657%3AMICROSOFT%3A71700000112709583%3A58700008485496776%3Ap77316727437%3A&gclid=e69f1664fbdd1327491e71f5a3572a73&gclsrc=3p.ds&msclkid=e69f1664fbdd1327491e71f5a3572a73&utm_source=bing&utm_medium=cpc&utm_campaign=Model_Grand_Highlander_Hybrid_T1&utm_term=toyota+grand+highlander+hybrid+build&utm_content=Model_Grand_Highlander_Hybrid_Build+&+Price_Phrase=&gclid=e69f1664fbdd1327491e71f5a3572a73&gclsrc=3p.ds&bap_guid=cef15091-0882-48a9-814f-dc664e245a36,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grandhighlanderhybrid/6716/330/9ac5b58ab6010fb349f65d7a5916ccbdb357689834d6be3efe0ea8923f97fe27.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",37/34,Interior,Black SofTex®,Included,
Hybrid XLE,"$45,380",https://www.toyota.com/configurator/build/step/model/year/2025/series/grandhighlanderhybrid/model/6716/?srchid=SEM%3A700000001483657%3AMICROSOFT%3A71700000112709583%3A58700008485496776%3Ap77316727437%3A&gclid=e69f1664fbdd1327491e71f5a3572a73&gclsrc=3p.ds&msclkid=e69f1664fbdd1327491e71f5a3572a73&utm_source=bing&utm_medium=cpc&utm_campaign=Model_Grand_Highlander_Hybrid_T1&utm_term=toyota+grand+highlander+hybrid+build&utm_content=Model_Grand_Highlander_Hybrid_Build+&+Price_Phrase=&gclid=e69f1664fbdd1327491e71f5a3572a73&gclsrc=3p.ds&bap_guid=cef15091-0882-48a9-814f-dc664e245a36,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grandhighlanderhybrid/6716/330/9ac5b58ab6010fb349f65d7a5916ccbdb357689834d6be3efe0ea8923f97fe27.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",37/34,Interior,Light Gray SofTex®,Included,
Hybrid XLE,"$45,380",https://www.toyota.com/configurator/build/step/model/year/2025/series/grandhighlanderhybrid/model/6716/?srchid=SEM%3A700000001483657%3AMICROSOFT%3A71700000112709583%3A58700008485496776%3Ap77316727437%3A&gclid=e69f1664fbdd1327491e71f5a3572a73&gclsrc=3p.ds&msclkid=e69f1664fbdd1327491e71f5a3572a73&utm_source=bing&utm_medium=cpc&utm_campaign=Model_Grand_Highlander_Hybrid_T1&utm_term=toyota+grand+highlander+hybrid+build&utm_content=Model_Grand_Highlander_Hybrid_Build+&+Price_Phrase=&gclid=e69f1664fbdd1327491e71f5a3572a73&gclsrc=3p.ds&bap_guid=cef15091-0882-48a9-814f-dc664e245a36,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grandhighlanderhybrid/6716/330/9ac5b58ab6010fb349f65d7a5916ccbdb357689834d6be3efe0ea8923f97fe27.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",37/34,Engine,2.5-Liter 4-Cylinder Hybrid Engine,Included,
Hybrid XLE,"$45,380",https://www.toyota.com/configurator/build/step/model/year/2025/series/grandhighlanderhybrid/model/6716/?srchid=SEM%3A700000001483657%3AMICROSOFT%3A71700000112709583%3A58700008485496776%3Ap77316727437%3A&gclid=e69f1664fbdd1327491e71f5a3572a73&gclsrc=3p.ds&msclkid=e69f1664fbdd1327491e71f5a3572a73&utm_source=bing&utm_medium=cpc&utm_campaign=Model_Grand_Highlander_Hybrid_T1&utm_term=toyota+grand+highlander+hybrid+build&utm_content=Model_Grand_Highlander_Hybrid_Build+&+Price_Phrase=&gclid=e69f1664fbdd1327491e71f5a3572a73&gclsrc=3p.ds&bap_guid=cef15091-0882-48a9-814f-dc664e245a36,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grandhighlanderhybrid/6716/330/9ac5b58ab6010fb349f65d7a5916ccbdb357689834d6be3efe0ea8923f97fe27.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",37/34,Transmission,Electronically controlled Continuously Variable Transmission (ECVT),Included,
