Model,MSRP,Build URL,Image URL_x,MPG,Category,Name,Price/Details,Image URL_y
3.0,"$56,250",https://www.toyota.com/configurator/build/step/model/year/2025/series/grsupra/model/2372/?bap_guid=6888ffaa-9923-4bee-b053-094895a96575,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grsupra/2372/437/4d8edd7593eee73c647d822bd2f702adb6faef86e3ee961f2439faf69fa5229a.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",23/31,Exterior,Stratosphere *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grsupra/2372/232/564397586349f76cc5348eb940d98bfbc62f8ec62e31b8c1839a2537aa54a08e.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
3.0,"$56,250",https://www.toyota.com/configurator/build/step/model/year/2025/series/grsupra/model/2372/?bap_guid=6888ffaa-9923-4bee-b053-094895a96575,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grsupra/2372/437/4d8edd7593eee73c647d822bd2f702adb6faef86e3ee961f2439faf69fa5229a.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",23/31,Exterior,Absolute Zero,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grsupra/2372/437/4d8edd7593eee73c647d822bd2f702adb6faef86e3ee961f2439faf69fa5229a.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
3.0,"$56,250",https://www.toyota.com/configurator/build/step/model/year/2025/series/grsupra/model/2372/?bap_guid=6888ffaa-9923-4bee-b053-094895a96575,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grsupra/2372/437/4d8edd7593eee73c647d822bd2f702adb6faef86e3ee961f2439faf69fa5229a.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",23/31,Exterior,Nocturnal,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grsupra/2372/375/6d42348ff11b9cb1e981f44357bbb2c14d5c51b719cf6656723744e8a3cc4226.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
3.0,"$56,250",https://www.toyota.com/configurator/build/step/model/year/2025/series/grsupra/model/2372/?bap_guid=6888ffaa-9923-4bee-b053-094895a96575,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grsupra/2372/437/4d8edd7593eee73c647d822bd2f702adb6faef86e3ee961f2439faf69fa5229a.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",23/31,Exterior,Renaissance Red 2.0,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grsupra/2372/614/b8b68226f4c5af6471134ffa911f26b96b66c168b291b7d350ba10748c5e78c2.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
3.0,"$56,250",https://www.toyota.com/configurator/build/step/model/year/2025/series/grsupra/model/2372/?bap_guid=6888ffaa-9923-4bee-b053-094895a96575,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grsupra/2372/437/4d8edd7593eee73c647d822bd2f702adb6faef86e3ee961f2439faf69fa5229a.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",23/31,Interior,Black Alcantara/Leather-trimmed,Included,
3.0,"$56,250",https://www.toyota.com/configurator/build/step/model/year/2025/series/grsupra/model/2372/?bap_guid=6888ffaa-9923-4bee-b053-094895a96575,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grsupra/2372/437/4d8edd7593eee73c647d822bd2f702adb6faef86e3ee961f2439faf69fa5229a.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",23/31,Engine,3.0L Inline 6-Cyl. Turbo Engine,Included,
3.0,"$56,250",https://www.toyota.com/configurator/build/step/model/year/2025/series/grsupra/model/2372/?bap_guid=6888ffaa-9923-4bee-b053-094895a96575,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grsupra/2372/437/4d8edd7593eee73c647d822bd2f702adb6faef86e3ee961f2439faf69fa5229a.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",23/31,Transmission,8-Speed Automatic Transmission with paddle shifters,Included,
3.0,"$56,250",https://www.toyota.com/configurator/build/step/model/year/2025/series/grsupra/model/2372/?bap_guid=6888ffaa-9923-4bee-b053-094895a96575,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grsupra/2372/437/4d8edd7593eee73c647d822bd2f702adb6faef86e3ee961f2439faf69fa5229a.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",23/31,Drivetrain,Rear-Wheel Drive,Included,
3.0 Premium,"$59,400",https://www.toyota.com/configurator/build/step/model/year/2025/series/grsupra/model/2374/?bap_guid=6888ffaa-9923-4bee-b053-094895a96575,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grsupra/2374/825/7907fda9f326c75a35c605744755b477dffb28c2fe0fbd5f2ca74e02e9f2b0e5.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",23/31,Exterior,Stratosphere *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grsupra/2374/825/7907fda9f326c75a35c605744755b477dffb28c2fe0fbd5f2ca74e02e9f2b0e5.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
3.0 Premium,"$59,400",https://www.toyota.com/configurator/build/step/model/year/2025/series/grsupra/model/2374/?bap_guid=6888ffaa-9923-4bee-b053-094895a96575,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grsupra/2374/825/7907fda9f326c75a35c605744755b477dffb28c2fe0fbd5f2ca74e02e9f2b0e5.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",23/31,Exterior,Absolute Zero,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grsupra/2374/957/28dea93dfc73de496a0c17f5e855d0294997ba392e754c61d231cf2ad526168a.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
