Model,MSRP,Build URL,Image URL_x,MPG,Category,Name,Price/Details,Image URL_y
Hybrid XLE,"$46,020",https://www.toyota.com/configurator/build/step/model/year/2025/series/highlanderhybrid/model/6965/?bap_guid=ff51e7a0-e5a6-4c52-9a22-a1abe2981bdb,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6965/769/341c2d09e4be2d6336158984c08aeab7864078b9be307d45e87aad133b41c359.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",35/35,Exterior,Heavy Metal *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6965/724/a75eb8a450c949f77bff4ac70174f98a0b0e1276a6ba02f0d773f4b35c98c679.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid XLE,"$46,020",https://www.toyota.com/configurator/build/step/model/year/2025/series/highlanderhybrid/model/6965/?bap_guid=ff51e7a0-e5a6-4c52-9a22-a1abe2981bdb,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6965/769/341c2d09e4be2d6336158984c08aeab7864078b9be307d45e87aad133b41c359.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",35/35,Exterior,Wind Chill Pearl *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6965/769/341c2d09e4be2d6336158984c08aeab7864078b9be307d45e87aad133b41c359.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid XLE,"$46,020",https://www.toyota.com/configurator/build/step/model/year/2025/series/highlanderhybrid/model/6965/?bap_guid=ff51e7a0-e5a6-4c52-9a22-a1abe2981bdb,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6965/769/341c2d09e4be2d6336158984c08aeab7864078b9be307d45e87aad133b41c359.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",35/35,Exterior,Midnight Black Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6965/813/718c4f8d1e046a6ea06fbbb46f3fc342da9b546a6b53b38af8cb3597ab19438d.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid XLE,"$46,020",https://www.toyota.com/configurator/build/step/model/year/2025/series/highlanderhybrid/model/6965/?bap_guid=ff51e7a0-e5a6-4c52-9a22-a1abe2981bdb,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6965/769/341c2d09e4be2d6336158984c08aeab7864078b9be307d45e87aad133b41c359.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",35/35,Exterior,Celestial Silver Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6965/290/19a66922e57abdaaa6d7a5c7cb27397d558384916e6b4acc2cd05b9a9a60503e.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid XLE,"$46,020",https://www.toyota.com/configurator/build/step/model/year/2025/series/highlanderhybrid/model/6965/?bap_guid=ff51e7a0-e5a6-4c52-9a22-a1abe2981bdb,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6965/769/341c2d09e4be2d6336158984c08aeab7864078b9be307d45e87aad133b41c359.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",35/35,Exterior,Magnetic Gray Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6965/501/1d2027652f281f7032cc2b18f72ce4cc840957c8b63c618b2c5166d61f3bb676.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid XLE,"$46,020",https://www.toyota.com/configurator/build/step/model/year/2025/series/highlanderhybrid/model/6965/?bap_guid=ff51e7a0-e5a6-4c52-9a22-a1abe2981bdb,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6965/769/341c2d09e4be2d6336158984c08aeab7864078b9be307d45e87aad133b41c359.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",35/35,Exterior,Cypress,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6965/698/688aa9024317e79335a67931af60f4a21aa4a879cd940a38c603656be27cbbad.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid XLE,"$46,020",https://www.toyota.com/configurator/build/step/model/year/2025/series/highlanderhybrid/model/6965/?bap_guid=ff51e7a0-e5a6-4c52-9a22-a1abe2981bdb,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6965/769/341c2d09e4be2d6336158984c08aeab7864078b9be307d45e87aad133b41c359.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",35/35,Exterior,Blueprint,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6965/98/f2de4d7a11b6deab5a0f6b2b1734b1f20cd61352e72354450009d875921e11af.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid XLE,"$46,020",https://www.toyota.com/configurator/build/step/model/year/2025/series/highlanderhybrid/model/6965/?bap_guid=ff51e7a0-e5a6-4c52-9a22-a1abe2981bdb,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6965/769/341c2d09e4be2d6336158984c08aeab7864078b9be307d45e87aad133b41c359.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",35/35,Exterior,Ruby Flare Pearl *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6965/955/dcc2f3f3a41239c3e75f76f55e92f4366f0e769ab3082b587ba8926bc07b6c9e.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid XLE,"$46,020",https://www.toyota.com/configurator/build/step/model/year/2025/series/highlanderhybrid/model/6965/?bap_guid=ff51e7a0-e5a6-4c52-9a22-a1abe2981bdb,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6965/769/341c2d09e4be2d6336158984c08aeab7864078b9be307d45e87aad133b41c359.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",35/35,Interior,Black SofTex®-trimmed *,Included,
Hybrid XLE,"$46,020",https://www.toyota.com/configurator/build/step/model/year/2025/series/highlanderhybrid/model/6965/?bap_guid=ff51e7a0-e5a6-4c52-9a22-a1abe2981bdb,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6965/769/341c2d09e4be2d6336158984c08aeab7864078b9be307d45e87aad133b41c359.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",35/35,Interior,Graphite SofTex®-trimmed *,Included,
