Model,MSRP,Build URL,Image URL_x,MPG,Category,Name,Price/Details,Image URL_y
Land Cruiser 1958,"$56,700",https://www.toyota.com/configurator/build/step/model/year/2025/series/landcruiser/model/6165/?bap_guid=8505dafc-57db-4a2c-8a33-291b35135a4d,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/landcruiser/6165/182/42b23c9ee009a3d9e4bea9b1f8050ca5e4073feee67e7dce402f9118e2465ecb.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",22/25,Exterior,Black,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/landcruiser/6165/414/0e150c3e83107f90310911ba7e869d2f689f5f583ce3dcbd4dad99a1b5cd460f.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Land Cruiser 1958,"$56,700",https://www.toyota.com/configurator/build/step/model/year/2025/series/landcruiser/model/6165/?bap_guid=8505dafc-57db-4a2c-8a33-291b35135a4d,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/landcruiser/6165/182/42b23c9ee009a3d9e4bea9b1f8050ca5e4073feee67e7dce402f9118e2465ecb.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",22/25,Exterior,Meteor Shower,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/landcruiser/6165/182/42b23c9ee009a3d9e4bea9b1f8050ca5e4073feee67e7dce402f9118e2465ecb.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Land Cruiser 1958,"$56,700",https://www.toyota.com/configurator/build/step/model/year/2025/series/landcruiser/model/6165/?bap_guid=8505dafc-57db-4a2c-8a33-291b35135a4d,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/landcruiser/6165/182/42b23c9ee009a3d9e4bea9b1f8050ca5e4073feee67e7dce402f9118e2465ecb.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",22/25,Exterior,Ice Cap,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/landcruiser/6165/188/0a2e3ff4ab9d9f5b5a502f7775e24bbdae03dfbc39cceff27dca6c9cbcba64ce.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Land Cruiser 1958,"$56,700",https://www.toyota.com/configurator/build/step/model/year/2025/series/landcruiser/model/6165/?bap_guid=8505dafc-57db-4a2c-8a33-291b35135a4d,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/landcruiser/6165/182/42b23c9ee009a3d9e4bea9b1f8050ca5e4073feee67e7dce402f9118e2465ecb.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",22/25,Interior,Black,Included,
Land Cruiser 1958,"$56,700",https://www.toyota.com/configurator/build/step/model/year/2025/series/landcruiser/model/6165/?bap_guid=8505dafc-57db-4a2c-8a33-291b35135a4d,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/landcruiser/6165/182/42b23c9ee009a3d9e4bea9b1f8050ca5e4073feee67e7dce402f9118e2465ecb.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",22/25,Engine,2.4L 4-Cyl. i-FORCE MAX Hybrid Engine,Included,
Land Cruiser 1958,"$56,700",https://www.toyota.com/configurator/build/step/model/year/2025/series/landcruiser/model/6165/?bap_guid=8505dafc-57db-4a2c-8a33-291b35135a4d,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/landcruiser/6165/182/42b23c9ee009a3d9e4bea9b1f8050ca5e4073feee67e7dce402f9118e2465ecb.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",22/25,Transmission,8-Speed Electronically Controlled automatic Transmission with intelligence (ECT-i) and sequential shift mode,Included,
Land Cruiser 1958,"$56,700",https://www.toyota.com/configurator/build/step/model/year/2025/series/landcruiser/model/6165/?bap_guid=8505dafc-57db-4a2c-8a33-291b35135a4d,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/landcruiser/6165/182/42b23c9ee009a3d9e4bea9b1f8050ca5e4073feee67e7dce402f9118e2465ecb.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",22/25,Drivetrain,Full-time 4-Wheel Drive,Included,
Land Cruiser 1958,"$56,700",https://www.toyota.com/configurator/build/step/model/year/2025/series/landcruiser/model/6165/?bap_guid=8505dafc-57db-4a2c-8a33-291b35135a4d,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/landcruiser/6165/182/42b23c9ee009a3d9e4bea9b1f8050ca5e4073feee67e7dce402f9118e2465ecb.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",22/25,Add-On,Rear Bumper Guard,$230 MSRP,
Land Cruiser 1958,"$56,700",https://www.toyota.com/configurator/build/step/model/year/2025/series/landcruiser/model/6165/?bap_guid=8505dafc-57db-4a2c-8a33-291b35135a4d,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/landcruiser/6165/182/42b23c9ee009a3d9e4bea9b1f8050ca5e4073feee67e7dce402f9118e2465ecb.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",22/25,Add-On,Liftgate Light,$195 MSRP,
Land Cruiser,"$61,470",https://www.toyota.com/configurator/build/step/model/year/2025/series/landcruiser/model/6167/?bap_guid=8505dafc-57db-4a2c-8a33-291b35135a4d,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/landcruiser/6167/234/fca9cbfa7186595f1baf04257d9123b889e99e1013a296da0e59bc3071d816eb.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",22/25,Exterior,Trail Dust / Grayscape *,$350,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/landcruiser/6167/550/173589664fdd3b4bcad820588b1e357b621b7265a8ed1145438c322c93e584b3.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Land Cruiser,"$61,470",https://www.toyota.com/configurator/build/step/model/year/2025/series/landcruiser/model/6167/?bap_guid=8505dafc-57db-4a2c-8a33-291b35135a4d,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/landcruiser/6167/234/fca9cbfa7186595f1baf04257d9123b889e99e1013a296da0e59bc3071d816eb.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",22/25,Exterior,Heritage Blue / Grayscape *,$350,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/landcruiser/6167/234/fca9cbfa7186595f1baf04257d9123b889e99e1013a296da0e59bc3071d816eb.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
