Model,MSRP,Build URL,Image URL_x,MPG,Category,Name,Price/Details,Image URL_y
LE,"$28,350",https://www.toyota.com/configurator/build/step/model/year/2025/series/prius/model/1223/?bap_guid=dc541828-826f-4ce2-8755-5580889662bf,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/prius/1223/967/4001aa573b30c05b0042a22782493aabbfd5db1447e9fe0ebd044692430d0ca7.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",57/56,Exterior,Cutting Edge,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/prius/1223/632/fb9081d00279a442dd6f7378646a0f7c1059317d1ceea73ef343fbeb6a044f47.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,"$28,350",https://www.toyota.com/configurator/build/step/model/year/2025/series/prius/model/1223/?bap_guid=dc541828-826f-4ce2-8755-5580889662bf,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/prius/1223/967/4001aa573b30c05b0042a22782493aabbfd5db1447e9fe0ebd044692430d0ca7.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",57/56,Exterior,Guardian Gray,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/prius/1223/320/08d3ec50c100f5bfbeb63b2ae82b423ebb86bc54ecf64f8a732121332c9edf88.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,"$28,350",https://www.toyota.com/configurator/build/step/model/year/2025/series/prius/model/1223/?bap_guid=dc541828-826f-4ce2-8755-5580889662bf,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/prius/1223/967/4001aa573b30c05b0042a22782493aabbfd5db1447e9fe0ebd044692430d0ca7.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",57/56,Exterior,Midnight Black Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/prius/1223/967/43e360f77d0be9ed728a4eed0e711c9cdc736140568dbb2dd718d0e826a628a1.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,"$28,350",https://www.toyota.com/configurator/build/step/model/year/2025/series/prius/model/1223/?bap_guid=dc541828-826f-4ce2-8755-5580889662bf,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/prius/1223/967/4001aa573b30c05b0042a22782493aabbfd5db1447e9fe0ebd044692430d0ca7.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",57/56,Exterior,Supersonic Red *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/prius/1223/440/f85ed0f05c0a4a3d6346be0ac42d8ce5ad6f05ba9eea8d7273f37f299d935f8c.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,"$28,350",https://www.toyota.com/configurator/build/step/model/year/2025/series/prius/model/1223/?bap_guid=dc541828-826f-4ce2-8755-5580889662bf,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/prius/1223/967/4001aa573b30c05b0042a22782493aabbfd5db1447e9fe0ebd044692430d0ca7.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",57/56,Exterior,Wind Chill Pearl *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/prius/1223/967/4001aa573b30c05b0042a22782493aabbfd5db1447e9fe0ebd044692430d0ca7.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,"$28,350",https://www.toyota.com/configurator/build/step/model/year/2025/series/prius/model/1223/?bap_guid=dc541828-826f-4ce2-8755-5580889662bf,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/prius/1223/967/4001aa573b30c05b0042a22782493aabbfd5db1447e9fe0ebd044692430d0ca7.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",57/56,Exterior,Reservoir Blue,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/prius/1223/880/01e97450a1d0162aa64bed28ad34bd4d13f571369dd13f9763f1a813a678134d.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,"$28,350",https://www.toyota.com/configurator/build/step/model/year/2025/series/prius/model/1223/?bap_guid=dc541828-826f-4ce2-8755-5580889662bf,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/prius/1223/967/4001aa573b30c05b0042a22782493aabbfd5db1447e9fe0ebd044692430d0ca7.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",57/56,Interior,Lt. Gray,Included,
LE,"$28,350",https://www.toyota.com/configurator/build/step/model/year/2025/series/prius/model/1223/?bap_guid=dc541828-826f-4ce2-8755-5580889662bf,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/prius/1223/967/4001aa573b30c05b0042a22782493aabbfd5db1447e9fe0ebd044692430d0ca7.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",57/56,Interior,Gradient Black,Included,
LE,"$28,350",https://www.toyota.com/configurator/build/step/model/year/2025/series/prius/model/1223/?bap_guid=dc541828-826f-4ce2-8755-5580889662bf,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/prius/1223/967/4001aa573b30c05b0042a22782493aabbfd5db1447e9fe0ebd044692430d0ca7.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",57/56,Engine,2.0L 4-Cyl. Hybrid Engine,Included,
LE,"$28,350",https://www.toyota.com/configurator/build/step/model/year/2025/series/prius/model/1223/?bap_guid=dc541828-826f-4ce2-8755-5580889662bf,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/prius/1223/967/4001aa573b30c05b0042a22782493aabbfd5db1447e9fe0ebd044692430d0ca7.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",57/56,Transmission,Electronically controlled Continuously Variable Transmission (ECVT),Included,
