Model,MSRP,Build URL,Image URL_x,MPG,Category,Name,Price/Details,Image URL_y
LE,"$28,850",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4/model/4430/?bap_guid=26b4c9e4-79d2-412e-a5f3-791c5c01b579,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4430/338/b72a10ca8cdd22e32726c4936a01fb48363cf277d7424a0efcd54f713576b889.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",27/35,Exterior,Magnetic Gray Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4430/955/1bc4b00b2432773c38eaa7f96e8e2f6cdc0927e1a1b57af84666afb6f963b233.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,"$28,850",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4/model/4430/?bap_guid=26b4c9e4-79d2-412e-a5f3-791c5c01b579,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4430/338/b72a10ca8cdd22e32726c4936a01fb48363cf277d7424a0efcd54f713576b889.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",27/35,Exterior,Ice Cap,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4430/435/47e5ebc396d2e93be28021169da651e696140f28042a253dd86fb2d1dd2c9b95.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,"$28,850",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4/model/4430/?bap_guid=26b4c9e4-79d2-412e-a5f3-791c5c01b579,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4430/338/b72a10ca8cdd22e32726c4936a01fb48363cf277d7424a0efcd54f713576b889.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",27/35,Exterior,Midnight Black Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4430/625/c053c5e901f51c33b7e705f6cca7131f42bb79c9c91bea9c577aa204193ba613.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,"$28,850",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4/model/4430/?bap_guid=26b4c9e4-79d2-412e-a5f3-791c5c01b579,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4430/338/b72a10ca8cdd22e32726c4936a01fb48363cf277d7424a0efcd54f713576b889.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",27/35,Exterior,Ruby Flare Pearl *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4430/740/62652cacc88aac7be2a8ed981b160e5980347e3ff4fa53e0d966c7265b0a84b7.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,"$28,850",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4/model/4430/?bap_guid=26b4c9e4-79d2-412e-a5f3-791c5c01b579,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4430/338/b72a10ca8cdd22e32726c4936a01fb48363cf277d7424a0efcd54f713576b889.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",27/35,Exterior,Silver Sky Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4430/338/b72a10ca8cdd22e32726c4936a01fb48363cf277d7424a0efcd54f713576b889.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,"$28,850",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4/model/4430/?bap_guid=26b4c9e4-79d2-412e-a5f3-791c5c01b579,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4430/338/b72a10ca8cdd22e32726c4936a01fb48363cf277d7424a0efcd54f713576b889.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",27/35,Interior,Nutmeg Fabric,Included,
LE,"$28,850",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4/model/4430/?bap_guid=26b4c9e4-79d2-412e-a5f3-791c5c01b579,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4430/338/b72a10ca8cdd22e32726c4936a01fb48363cf277d7424a0efcd54f713576b889.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",27/35,Interior,Black Fabric,Included,
LE,"$28,850",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4/model/4430/?bap_guid=26b4c9e4-79d2-412e-a5f3-791c5c01b579,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4430/338/b72a10ca8cdd22e32726c4936a01fb48363cf277d7424a0efcd54f713576b889.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",27/35,Engine,2.5L 4-Cyl. Engine,Included,
LE,"$28,850",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4/model/4430/?bap_guid=26b4c9e4-79d2-412e-a5f3-791c5c01b579,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4430/338/b72a10ca8cdd22e32726c4936a01fb48363cf277d7424a0efcd54f713576b889.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",27/35,Transmission,Direct Shift 8-Speed Electronically Controlled automatic Transmission with intelligence (ECT-i) and sequential shift mode,Included,
LE,"$28,850",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4/model/4430/?bap_guid=26b4c9e4-79d2-412e-a5f3-791c5c01b579,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4430/338/b72a10ca8cdd22e32726c4936a01fb48363cf277d7424a0efcd54f713576b889.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",27/35,Drivetrain,Front-Wheel Drive,Included,
LE,"$28,850",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4/model/4430/?bap_guid=26b4c9e4-79d2-412e-a5f3-791c5c01b579,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4430/338/b72a10ca8cdd22e32726c4936a01fb48363cf277d7424a0efcd54f713576b889.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",27/35,Drivetrain,All-Wheel Drive,"$1,400 MSRP",
LE,"$28,850",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4/model/4430/?bap_guid=26b4c9e4-79d2-412e-a5f3-791c5c01b579,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4430/338/b72a10ca8cdd22e32726c4936a01fb48363cf277d7424a0efcd54f713576b889.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",27/35,Add-On,Blind Spot Monitor (BSM) * with Rear Cross-Traffic Alert (RCTA) *,$590 MSRP,
LE,"$28,850",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4/model/4430/?bap_guid=26b4c9e4-79d2-412e-a5f3-791c5c01b579,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4430/338/b72a10ca8cdd22e32726c4936a01fb48363cf277d7424a0efcd54f713576b889.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",27/35,Add-On,Rear cargo area cover,$90 MSRP,
XLE,"$30,360",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4/model/4440/?bap_guid=26b4c9e4-79d2-412e-a5f3-791c5c01b579,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4440/738/c865b5423efde82920c23eff74909b2f9bd63c67fb4d1f9f60d119dea3948e93.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",27/35,Exterior,Magnetic Gray Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4440/102/82c79da6a18b7cd04df2663bf041eb36e0dffce6cd7690ce3f70183efe6977de.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,"$30,360",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4/model/4440/?bap_guid=26b4c9e4-79d2-412e-a5f3-791c5c01b579,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4440/738/c865b5423efde82920c23eff74909b2f9bd63c67fb4d1f9f60d119dea3948e93.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",27/35,Exterior,Ice Cap,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4440/738/c865b5423efde82920c23eff74909b2f9bd63c67fb4d1f9f60d119dea3948e93.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,"$30,360",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4/model/4440/?bap_guid=26b4c9e4-79d2-412e-a5f3-791c5c01b579,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4440/738/c865b5423efde82920c23eff74909b2f9bd63c67fb4d1f9f60d119dea3948e93.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",27/35,Exterior,Midnight Black Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4440/971/2f07bbc3cc3794a9481b9f8ef6e604d1bf3b3083d936a3fea61a382121ba9163.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,"$30,360",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4/model/4440/?bap_guid=26b4c9e4-79d2-412e-a5f3-791c5c01b579,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4440/738/c865b5423efde82920c23eff74909b2f9bd63c67fb4d1f9f60d119dea3948e93.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",27/35,Exterior,Ruby Flare Pearl *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4440/363/5bdba93b28edf362cfc9671603eb3481c0db7bc5b97907e09c0cd9928a0499c8.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,"$30,360",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4/model/4440/?bap_guid=26b4c9e4-79d2-412e-a5f3-791c5c01b579,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4440/738/c865b5423efde82920c23eff74909b2f9bd63c67fb4d1f9f60d119dea3948e93.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",27/35,Exterior,Blueprint,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4440/553/e118a85179c3919f2ee57522b4f134e7bd00401e2804960180e5fe854c8d8503.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,"$30,360",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4/model/4440/?bap_guid=26b4c9e4-79d2-412e-a5f3-791c5c01b579,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4440/738/c865b5423efde82920c23eff74909b2f9bd63c67fb4d1f9f60d119dea3948e93.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",27/35,Exterior,Silver Sky Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4440/448/87745660798647dcfc563cd1a5d499e8050c96cfc2d3ed041dffe3522c1cdb9b.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,"$30,360",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4/model/4440/?bap_guid=26b4c9e4-79d2-412e-a5f3-791c5c01b579,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4440/738/c865b5423efde82920c23eff74909b2f9bd63c67fb4d1f9f60d119dea3948e93.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",27/35,Interior,Black Fabric,Included,
XLE,"$30,360",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4/model/4440/?bap_guid=26b4c9e4-79d2-412e-a5f3-791c5c01b579,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4440/738/c865b5423efde82920c23eff74909b2f9bd63c67fb4d1f9f60d119dea3948e93.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",27/35,Interior,Nutmeg Fabric,Included,
XLE,"$30,360",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4/model/4440/?bap_guid=26b4c9e4-79d2-412e-a5f3-791c5c01b579,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4440/738/c865b5423efde82920c23eff74909b2f9bd63c67fb4d1f9f60d119dea3948e93.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",27/35,Interior,Ash Fabric,Included,
XLE,"$30,360",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4/model/4440/?bap_guid=26b4c9e4-79d2-412e-a5f3-791c5c01b579,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4440/738/c865b5423efde82920c23eff74909b2f9bd63c67fb4d1f9f60d119dea3948e93.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",27/35,Engine,2.5L 4-Cyl. Engine,Included,
XLE,"$30,360",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4/model/4440/?bap_guid=26b4c9e4-79d2-412e-a5f3-791c5c01b579,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4440/738/c865b5423efde82920c23eff74909b2f9bd63c67fb4d1f9f60d119dea3948e93.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",27/35,Transmission,Direct Shift 8-Speed Electronically Controlled automatic Transmission with intelligence (ECT-i) and sequential shift mode,Included,
XLE,"$30,360",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4/model/4440/?bap_guid=26b4c9e4-79d2-412e-a5f3-791c5c01b579,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4440/738/c865b5423efde82920c23eff74909b2f9bd63c67fb4d1f9f60d119dea3948e93.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",27/35,Drivetrain,Front-Wheel Drive,Included,
XLE,"$30,360",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4/model/4440/?bap_guid=26b4c9e4-79d2-412e-a5f3-791c5c01b579,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4440/738/c865b5423efde82920c23eff74909b2f9bd63c67fb4d1f9f60d119dea3948e93.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",27/35,Drivetrain,All-Wheel Drive,"$1,400 MSRP",
Hybrid LE,"$31,900",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4/model/4435/?bap_guid=26b4c9e4-79d2-412e-a5f3-791c5c01b579,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4435/160/8dee23b0086e22daec1f073d040e8baf55e995c95f05c30f6f0ab43c89bce5b6.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",41/38,Exterior,Magnetic Gray Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4435/260/15dada445dcc77a33c2fca7495e57bd9866df7c07a41171567b4432d146904a4.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid LE,"$31,900",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4/model/4435/?bap_guid=26b4c9e4-79d2-412e-a5f3-791c5c01b579,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4435/160/8dee23b0086e22daec1f073d040e8baf55e995c95f05c30f6f0ab43c89bce5b6.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",41/38,Exterior,Ice Cap,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4435/766/83b55b9efa5afe00a86759f7c39069014e0d38a2b1d027b16ed994d5d49d11e1.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid LE,"$31,900",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4/model/4435/?bap_guid=26b4c9e4-79d2-412e-a5f3-791c5c01b579,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4435/160/8dee23b0086e22daec1f073d040e8baf55e995c95f05c30f6f0ab43c89bce5b6.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",41/38,Exterior,Midnight Black Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4435/777/14de5f910977100d49064fb5288c5ee8c34960df7d3e197c7f14891be57eee4e.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid LE,"$31,900",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4/model/4435/?bap_guid=26b4c9e4-79d2-412e-a5f3-791c5c01b579,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4435/160/8dee23b0086e22daec1f073d040e8baf55e995c95f05c30f6f0ab43c89bce5b6.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",41/38,Exterior,Ruby Flare Pearl *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4435/671/79a63cc759ed11e2adfccf4e03285093009a7c2ab9d77f428254a8271c150292.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
