Model,MSRP,Build URL,Image URL_x,MPG,Category,Name,Price/Details,Image URL_y
SE,"$43,865",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4pluginhybrid/model/4544/?bap_guid=d0c642c6-6393-44dc-9205-c06a77e6d500,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4pluginhybrid/4544/390/e5ad3b5e38fc5cdf40dd6aabdd28699bcd5bbaff9c349c3a8b477281d7aee855.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",38/94,Exterior,Silver Sky Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4pluginhybrid/4544/859/6c8913eb7c13fcc60a72e9fc1a8f94ae20e57fe9435d1aa30e0f03946378da69.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SE,"$43,865",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4pluginhybrid/model/4544/?bap_guid=d0c642c6-6393-44dc-9205-c06a77e6d500,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4pluginhybrid/4544/390/e5ad3b5e38fc5cdf40dd6aabdd28699bcd5bbaff9c349c3a8b477281d7aee855.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",38/94,Exterior,Blueprint,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4pluginhybrid/4544/834/af0cd54a7d9ebdf0801caa7f6f637b1d1b33428bb3e2267e8e1cdd96bccc0afe.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SE,"$43,865",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4pluginhybrid/model/4544/?bap_guid=d0c642c6-6393-44dc-9205-c06a77e6d500,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4pluginhybrid/4544/390/e5ad3b5e38fc5cdf40dd6aabdd28699bcd5bbaff9c349c3a8b477281d7aee855.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",38/94,Exterior,Midnight Black Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4pluginhybrid/4544/321/22efb331be97fe8f201127e4d1dda6c7df53616ac986dc0643faee60d50f421f.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SE,"$43,865",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4pluginhybrid/model/4544/?bap_guid=d0c642c6-6393-44dc-9205-c06a77e6d500,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4pluginhybrid/4544/390/e5ad3b5e38fc5cdf40dd6aabdd28699bcd5bbaff9c349c3a8b477281d7aee855.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",38/94,Exterior,Ice Cap,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4pluginhybrid/4544/390/e5ad3b5e38fc5cdf40dd6aabdd28699bcd5bbaff9c349c3a8b477281d7aee855.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SE,"$43,865",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4pluginhybrid/model/4544/?bap_guid=d0c642c6-6393-44dc-9205-c06a77e6d500,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4pluginhybrid/4544/390/e5ad3b5e38fc5cdf40dd6aabdd28699bcd5bbaff9c349c3a8b477281d7aee855.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",38/94,Exterior,Supersonic Red *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4pluginhybrid/4544/336/c60d73a0e123c4f1d8e59d17283f38443ed3a307f3153904f9ee17671dc755ce.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SE,"$43,865",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4pluginhybrid/model/4544/?bap_guid=d0c642c6-6393-44dc-9205-c06a77e6d500,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4pluginhybrid/4544/390/e5ad3b5e38fc5cdf40dd6aabdd28699bcd5bbaff9c349c3a8b477281d7aee855.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",38/94,Exterior,Magnetic Gray Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4pluginhybrid/4544/658/6f599c2a3fbee6cd382ecaaabfdd5212fde8aa5278cc38ce1cad7d71985267ef.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SE,"$43,865",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4pluginhybrid/model/4544/?bap_guid=d0c642c6-6393-44dc-9205-c06a77e6d500,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4pluginhybrid/4544/390/e5ad3b5e38fc5cdf40dd6aabdd28699bcd5bbaff9c349c3a8b477281d7aee855.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",38/94,Interior,Black Fabric,Included,
SE,"$43,865",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4pluginhybrid/model/4544/?bap_guid=d0c642c6-6393-44dc-9205-c06a77e6d500,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4pluginhybrid/4544/390/e5ad3b5e38fc5cdf40dd6aabdd28699bcd5bbaff9c349c3a8b477281d7aee855.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",38/94,Engine,2.5L 4-Cyl. Plug-in Hybrid Engine,Included,
SE,"$43,865",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4pluginhybrid/model/4544/?bap_guid=d0c642c6-6393-44dc-9205-c06a77e6d500,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4pluginhybrid/4544/390/e5ad3b5e38fc5cdf40dd6aabdd28699bcd5bbaff9c349c3a8b477281d7aee855.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",38/94,Transmission,Electronically controlled Continuously Variable Transmission (ECVT),Included,
SE,"$43,865",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4pluginhybrid/model/4544/?bap_guid=d0c642c6-6393-44dc-9205-c06a77e6d500,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4pluginhybrid/4544/390/e5ad3b5e38fc5cdf40dd6aabdd28699bcd5bbaff9c349c3a8b477281d7aee855.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",38/94,Drivetrain,All-Wheel Drive,Included,
XSE,"$47,735",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4pluginhybrid/model/4550/?bap_guid=d0c642c6-6393-44dc-9205-c06a77e6d500,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4pluginhybrid/4550/691/6cdc5f7b303e43f7f8a5d6b5e6b4ca69d8298228e49c1908fcd7a9d81786e509.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",38/94,Exterior,Supersonic Red/Midnight Black Metallic Roof *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4pluginhybrid/4550/691/6cdc5f7b303e43f7f8a5d6b5e6b4ca69d8298228e49c1908fcd7a9d81786e509.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XSE,"$47,735",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4pluginhybrid/model/4550/?bap_guid=d0c642c6-6393-44dc-9205-c06a77e6d500,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4pluginhybrid/4550/691/6cdc5f7b303e43f7f8a5d6b5e6b4ca69d8298228e49c1908fcd7a9d81786e509.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",38/94,Exterior,Silver Sky Metallic/Midnight Black Metallic Roof,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4pluginhybrid/4550/156/ddb2753ce9b0cbc17702f118b1259781572cf1adc6a97206a5510687b116bb57.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XSE,"$47,735",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4pluginhybrid/model/4550/?bap_guid=d0c642c6-6393-44dc-9205-c06a77e6d500,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4pluginhybrid/4550/691/6cdc5f7b303e43f7f8a5d6b5e6b4ca69d8298228e49c1908fcd7a9d81786e509.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",38/94,Exterior,Blueprint/Midnight Black Metallic Roof,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4pluginhybrid/4550/916/866e000cf4428122f859c4d6f2e1000f3d6cdf17bd5fd1ffd0962ac53b73c788.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XSE,"$47,735",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4pluginhybrid/model/4550/?bap_guid=d0c642c6-6393-44dc-9205-c06a77e6d500,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4pluginhybrid/4550/691/6cdc5f7b303e43f7f8a5d6b5e6b4ca69d8298228e49c1908fcd7a9d81786e509.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",38/94,Exterior,Magnetic Gray Metallic/Midnight Black Metallic Roof,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4pluginhybrid/4550/675/6cc3803b32bcc635c84a90eb5cdedb27db308f13109f75d23f1bb03440ff5fc7.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XSE,"$47,735",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4pluginhybrid/model/4550/?bap_guid=d0c642c6-6393-44dc-9205-c06a77e6d500,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4pluginhybrid/4550/691/6cdc5f7b303e43f7f8a5d6b5e6b4ca69d8298228e49c1908fcd7a9d81786e509.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",38/94,Exterior,Wind Chill Pearl/Midnight Black Metallic Roof *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4pluginhybrid/4550/937/2b62f2a9c0a7d38ca3b794b63faac7a9625c8ce30ee09932d9bb71c32779d92c.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XSE,"$47,735",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4pluginhybrid/model/4550/?bap_guid=d0c642c6-6393-44dc-9205-c06a77e6d500,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4pluginhybrid/4550/691/6cdc5f7b303e43f7f8a5d6b5e6b4ca69d8298228e49c1908fcd7a9d81786e509.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",38/94,Interior,Black SofTex® *,Included,
XSE,"$47,735",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4pluginhybrid/model/4550/?bap_guid=d0c642c6-6393-44dc-9205-c06a77e6d500,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4pluginhybrid/4550/691/6cdc5f7b303e43f7f8a5d6b5e6b4ca69d8298228e49c1908fcd7a9d81786e509.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",38/94,Interior,Black Mixed Media,Included,
