Model,Category,Name,Price/Details,Image URL
Hybrid XLE,Exterior,Storm Cloud,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/grandhighlanderhybrid/6716/638/62f22dee84e0b438382cc1eba648821523b3ff9090aed152cc36d97b6b063f6e.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid XLE,Exterior,Wind Chill Pearl *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/grandhighlanderhybrid/6716/207/376d45efe003d20f832e5cb6a71ec08ccea8afdbe9312918973445689c0a024e.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid XLE,Exterior,Coastal Cream,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/grandhighlanderhybrid/6716/510/f3e3b50e94963d7e6dbda66e4ce670150a37d8d15d277f4e25431a71eba55633.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid XLE,Exterior,Celestial Silver Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/grandhighlanderhybrid/6716/138/99f0f3f28eb70c9ba622b58734310b4150d610f846838fa78c6d96b08816dc3d.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid XLE,Exterior,Ruby Flare Pearl *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/grandhighlanderhybrid/6716/72/83d1ca28a2bfa4b5d67623d0a5b134c6bd092d56817c11719111e9fb2d58860d.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid XLE,Exterior,Blueprint,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/grandhighlanderhybrid/6716/69/8072d42de718d34243b24e6b21b6e68b25059389211927517cdc8b1f7779e99f.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid XLE,Exterior,Midnight Black Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/grandhighlanderhybrid/6716/38/7fde92eedfe9b4bffc087276e6820c0a511450828d463875bcacbfa83c35e59f.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid XLE,Interior,Black SofTex®,Included,N/A
Hybrid XLE,Interior,Light Gray SofTex®,Included,N/A
Hybrid XLE,Engine,2.5L 4-Cyl. Hybrid Engine,Included,N/A
