Model,Category,Name,Price/Details,Image URL
Land Cruiser 1958,Exterior,Black,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/landcruiser/6165/12/2791e20c28a19373e97b4d4dc5dc2fc059b5e20f1beb67bd64afa1461ce2a732.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Land Cruiser 1958,Exterior,Meteor Shower,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/landcruiser/6165/391/dfab8ed73ddd9e0eb45d1d60b1a0add5a31c22bc7895c0c45c5a19b9c62fcb8b.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Land Cruiser 1958,Exterior,Ice Cap,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/landcruiser/6165/644/1998fd044e84b0b14f28a89b40d7f69cebec149064403affa8120e8409fd3c9b.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Land Cruiser 1958,Interior,Black,Included,N/A
Land Cruiser 1958,Engine,2.4L 4-Cyl. i-FORCE MAX Hybrid Engine,Included,N/A
Land Cruiser 1958,Transmission,8-Speed Electronically Controlled automatic Transmission with intelligence (ECT-i) and sequential shift mode,Included,N/A
Land Cruiser 1958,Drivetrain,Full-time 4-Wheel Drive,Included,N/A
Land Cruiser,Exterior,Trail Dust / Grayscape *,$350,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/landcruiser/6167/467/1049a783a58fc3c3b7dc7cc9d85e852cd66716f108b6d5f819667b3bdbd26219.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Land Cruiser,Exterior,Heritage Blue / Grayscape *,$350,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/landcruiser/6167/528/123e3460bf9d42b5ce8d2a88f18cb8da74691534e15284cc5605db7c0f9705b2.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Land Cruiser,Exterior,Black,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/landcruiser/6167/802/e4db62528c9fe18ab7e78040f5fa3367c4ba4a6edb969bab38886d25964f2f7c.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Land Cruiser,Exterior,Wind Chill Pearl *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/landcruiser/6167/917/f9937685edac72504ba5d7380ec424dc3eaf67d78888ced80125e7d71660d06a.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Land Cruiser,Exterior,Meteor Shower,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/landcruiser/6167/506/cc30359266b2aff4818328a4d4e0cfde469efba6edbe260af6c946fb3246e43e.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Land Cruiser,Exterior,Ice Cap,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/landcruiser/6167/709/b73c4665e79e8c73fe706d92e7720f24b555bf3d8381ad01ba895936425337ba.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Land Cruiser,Exterior,Underground,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/landcruiser/6167/630/159e4fb6a60f4dee38e353119de5995739d8a0a016634bcc025b6b8d25c2f65d.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Land Cruiser,Interior,Java SofTex® *,Included,N/A
Land Cruiser,Interior,Java Leather,Included,N/A
Land Cruiser,Interior,Black SofTex® *,Included,N/A
Land Cruiser,Interior,Black Leather,Included,N/A
Land Cruiser,Engine,2.4L 4-Cyl. i-FORCE MAX Hybrid Engine,Included,N/A
Land Cruiser,Transmission,8-Speed Electronically Controlled automatic Transmission with intelligence (ECT-i) and sequential shift mode,Included,N/A
Land Cruiser,Drivetrain,Full-time 4-Wheel Drive,Included,N/A
Land Cruiser,Add-On,20-in. Alloy Wheels,"$1,240 MSRP",N/A
Land Cruiser,Add-On,Moonroof,$850 MSRP,N/A
First Edition,Exterior,Trail Dust / Grayscape *,$350,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/landcruiser/6168/948/2dd33f042f1fa8fcc0607082b22bed4d0e93851b49695a6d59f19957f0bff4c6.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
First Edition,Exterior,Heritage Blue / Grayscape *,$350,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/landcruiser/6168/717/151e17d52195337eeb1f0d27a8678252dbf49f6970b86170b4ebcade1ca50fc8.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
First Edition,Exterior,Black,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/landcruiser/6168/863/560cab4f59b926f2e6ddac1ed82fd819c2a7442eb0c3fc3b541a2798eee88f1b.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
First Edition,Exterior,Meteor Shower,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/landcruiser/6168/241/d03574d17b088d23fd8ffea685b157d67d4d372c6e1db7f28f17f5b0c223af5a.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
First Edition,Interior,Black Leather,Included,N/A
First Edition,Engine,2.4L 4-Cyl. i-FORCE MAX Hybrid Engine,Included,N/A
First Edition,Transmission,8-Speed Electronically Controlled automatic Transmission with intelligence (ECT-i) and sequential shift mode,Included,N/A
First Edition,Drivetrain,Full-time 4-Wheel Drive,Included,N/A
