Model Name,MSRP,Build URL,Image URL,MPG
SR5,"$40,770",https://www.toyota.com/configurator/build/step/model/year/2025/series/4runner/model/8642/?bap_guid=67ca91af-9091-4f81-b66d-be460d1470f1,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runner/8642/489/d020b161981b7b4fe971a687c19bd2421ea43422f99402c0c391a590c2527acf.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",20/26
TRD Sport,"$47,250",https://www.toyota.com/configurator/build/step/model/year/2025/series/4runner/model/8643/?bap_guid=67ca91af-9091-4f81-b66d-be460d1470f1,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runner/8643/963/cd944b9b3d2e046a2d601a732a6e03e689ac1a5f681da9eb1d90ddcfbd40a94f.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",20/26
TRD Off-Road,"$49,190",https://www.toyota.com/configurator/build/step/model/year/2025/series/4runner/model/8670/?bap_guid=67ca91af-9091-4f81-b66d-be460d1470f1,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runner/8670/267/001aa9437f6a5a7cbf5c9674ee85dbaf25642b9a1bf872f20d4253916254f710.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",19/25
TRD Off-Road i-FORCE MAX,"$51,990",https://www.toyota.com/configurator/build/step/model/year/2025/series/4runner/model/8628/?bap_guid=67ca91af-9091-4f81-b66d-be460d1470f1,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runner/8628/286/370331febb64dd20cd85bf7b61abb0ab56e552164aa9e1ecc40b8c3434a45343.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",23/24
TRD Sport Premium,"$52,610",https://www.toyota.com/configurator/build/step/model/year/2025/series/4runner/model/8644/?bap_guid=67ca91af-9091-4f81-b66d-be460d1470f1,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runner/8644/381/1d52c7dd09f6c598ee491383083b894e75c6dd101c94ed6abd395b1655863e3d.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",20/26
TRD Off-Road Premium,"$54,970",https://www.toyota.com/configurator/build/step/model/year/2025/series/4runner/model/8672/?bap_guid=67ca91af-9091-4f81-b66d-be460d1470f1,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runner/8672/402/db476d8a3b3481023967937cb0bae6d150c06f04a6320a26103329090b60b519.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",19/25
Limited,"$55,400",https://www.toyota.com/configurator/build/step/model/year/2025/series/4runner/model/8648/?bap_guid=67ca91af-9091-4f81-b66d-be460d1470f1,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runner/8648/92/66c18b1c3c5f239a3c1a166c364e546dd7d447944598fe73b83e79339458df73.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",20/24
TRD Off-Road Premium i-FORCE MAX,"$57,770",https://www.toyota.com/configurator/build/step/model/year/2025/series/4runner/model/8630/?bap_guid=67ca91af-9091-4f81-b66d-be460d1470f1,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runner/8630/14/fc7a6266502af8fc82a02c077a8b6eaaf50bae892d68ee2e6f0f3ee6ad6b3889.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",23/24
Limited i-FORCE MAX,"$60,200",https://www.toyota.com/configurator/build/step/model/year/2025/series/4runner/model/8632/?bap_guid=67ca91af-9091-4f81-b66d-be460d1470f1,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runner/8632/780/a1719a0ce26f42ef09433ae355ebd4a90c8266326782b973ba30eee13c3e429f.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",23/24
Platinum,"$62,860",https://www.toyota.com/configurator/build/step/model/year/2025/series/4runner/model/8638/?bap_guid=67ca91af-9091-4f81-b66d-be460d1470f1,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runner/8638/82/1516be722aade15b8c4abb301d47b5464be2af305962bc0f255de48f2a94eb06.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",23/24
TRD Pro,"$66,900",https://www.toyota.com/configurator/build/step/model/year/2025/series/4runner/model/8634/?bap_guid=67ca91af-9091-4f81-b66d-be460d1470f1,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runner/8634/14/15debd66b21907a888abc37933ae40af5d09eede2dc272e10c84100d1688f3e8.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",23/24
Trailhunter,"$66,900",https://www.toyota.com/configurator/build/step/model/year/2025/series/4runner/model/8636/?bap_guid=67ca91af-9091-4f81-b66d-be460d1470f1,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runner/8636/677/36c641f586316e090bff96d01630130745597a7224b315a50e336e140923f222.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",23/24
