Model,Category,Name,Price/Details,Image URL
SR5,Exterior,Ice Cap,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runner/8642/489/d020b161981b7b4fe971a687c19bd2421ea43422f99402c0c391a590c2527acf.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR5,Exterior,Cutting Edge,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runner/8642/327/0dbb6a973533a80d53e7a3fef680768dabd9bf14cedb133753a88645f6ab61dd.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR5,Exterior,Underground,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runner/8642/6/1cc42e7eace3a5d9ede923b6c1d1d76d79b40e7845c6745ce0d5e1cb71f71a37.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR5,Exterior,Black,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runner/8642/926/fc8e7a96086e965941d5f9acb7cb9f8e8bcd593865ec99433665bc4e6f26e872.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR5,Exterior,Supersonic Red *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runner/8642/569/b38d7679fa4ddd935f95d12e71ee5721514377608afccf0688a113abf6d15057.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR5,Exterior,Heritage Blue,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runner/8642/625/c645de290d6708616eafa4e939ddc2f6c75d2cd185443bdbd4415097ebe88aef.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR5,Interior,Black Fabric,Included,N/A
SR5,Interior,Boulder Fabric,Included,N/A
SR5,Engine,i-FORCE 2.4L 4-Cyl. Turbo Engine,Included,N/A
SR5,Transmission,8-Speed Automatic Transmission,Included,N/A
SR5,Drivetrain,Rear-Wheel Drive,Included,N/A
SR5,Drivetrain,Part-time 4-Wheel Drive,"$2,000 MSRP",N/A
SR5,Add-On,Fixed Running Boards,$345 MSRP,N/A
SR5,Add-On,Third Row Seating - SR5,$770 MSRP,N/A
TRD Sport,Exterior,Wind Chill Pearl *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runner/8643/604/f5f4ede416d28f75ef5b35a8a724edf4d3619cdc05149829752f2259775a5322.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
TRD Sport,Exterior,Cutting Edge,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runner/8643/9/90fc3609c8b55a0c21b9aaef87679fb96008d951cb84f5649eb80ddb9e5dca5c.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
TRD Sport,Exterior,Underground,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runner/8643/250/fd761102c4624c3641067d4c8cf318e82e18e8d8d4fea825bbae42610db64cb5.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
TRD Sport,Exterior,Black,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runner/8643/518/2b0e359e13e4a0b34ecb4148aae3b6d3abcd444f190ee74c866d3457b39eeb08.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
TRD Sport,Exterior,Supersonic Red *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runner/8643/963/cd944b9b3d2e046a2d601a732a6e03e689ac1a5f681da9eb1d90ddcfbd40a94f.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
TRD Sport,Exterior,Heritage Blue,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runner/8643/647/7cb0214fd138c9f8baa6de3957e2fdc14431d0b03509a5823b65f4c19e8938dc.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
TRD Sport,Interior,Black/Boulder Fabric with Anodized Blue,Included,N/A
TRD Sport,Interior,Black/Boulder Fabric with Smoke Silver,Included,N/A
TRD Sport,Engine,i-FORCE 2.4L 4-Cyl. Turbo Engine,Included,N/A
TRD Sport,Transmission,8-Speed Automatic Transmission,Included,N/A
TRD Sport,Drivetrain,Rear-Wheel Drive,Included,N/A
TRD Sport,Drivetrain,Part-time 4-Wheel Drive,"$2,000 MSRP",N/A
TRD Off-Road,Exterior,Ice Cap,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runner/8670/452/b4d7b8e471d9cab4cae6e47131eb6b18767138679457afb2fc928fe336625a7f.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
TRD Off-Road,Exterior,Cutting Edge,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runner/8670/827/d4283ceba9d9f32c48347f28643c0d55adbdd7e8cf745c616028abe707c260bd.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
TRD Off-Road,Exterior,Underground,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runner/8670/197/3d000bcdf482f10535d9c15ec74fc00a0b042bdbfc53b7618102df799d9d7516.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
TRD Off-Road,Exterior,Black,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runner/8670/41/00468ea9323608cf77df1122026655386e47892b036e701c411d2dfc9d5033d0.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
TRD Off-Road,Exterior,Supersonic Red *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runner/8670/435/3b3f2aab91b35195f5878801274f2077aa0789d710edfa0351fbd28ed82504a4.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
