Model,Category,Name,Price/Details,Image URL
XLE,Exterior,Wind Chill Pearl *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/bz4x/2870/157/7f1344852c317842245e0f6898afd429b9b0306dfd4892a29a3e237277b65968.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,Exterior,Elemental Silver Metallic *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/bz4x/2870/770/4617d81a2ce755f249a8f59f1dbbf78a49990c1ada210a34210b4bc572ee3473.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,Exterior,Heavy Metal *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/bz4x/2870/999/da3b08efd13c2d01dd8e196b4ca2dfbdec378b1cef898334bef7d51186dce745.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,Exterior,Supersonic Red *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/bz4x/2870/741/3bcf561d82983e54f9d3a0b71e11b388a35901373c94d0b528b754e97b10a950.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,Exterior,Black,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/bz4x/2870/377/e0a79269e2947d456f15cf19321692f7b92349f4d34cc61d8f1fd923d944b443.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,Interior,Fabric/Softex - Black,Included,N/A
XLE,Engine,Single Electric Motor,Included,N/A
XLE,Transmission,1-Speed Automatic Transmission,Included,N/A
XLE,Drivetrain,Front-Wheel Drive,Included,N/A
XLE,Drivetrain,All-Wheel Drive,,N/A
Nightshade,Exterior,Black,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/bz4x/2884/430/ec2cce86c5d2af060369c36d7acbd35405398f94954b122effa86b6b7f4b0b81.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Nightshade,Exterior,Wind Chill Pearl with Black roof *,$975,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/bz4x/2884/773/a442d6bdbd7944339232795fbc327082bc0a6c533093245af732e6fb30a26be1.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Nightshade,Exterior,Heavy Metal with Black roof *,$975,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/bz4x/2884/317/f945a6351089b6efa3b0ce9ca1b5e3eb71b29d01b995ee0b1b50e19b499861b9.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Nightshade,Interior,Fabric/Softex - Black with red stitch,Included,N/A
Nightshade,Engine,Dual Electric Motors,Included,N/A
Nightshade,Transmission,1-Speed Automatic Transmission,Included,N/A
Nightshade,Drivetrain,All-Wheel Drive,Included,N/A
Limited,Exterior,Wind Chill Pearl *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/bz4x/2880/792/59a21a5074923a77bf5f41dc76b9877dd0ffedfdf9f393b48ae9a678092bf35c.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Limited,Exterior,Elemental Silver Metallic *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/bz4x/2880/89/67c975999767677920a3aa3f2b0242b000b79082d724fd8a8da4043a960818cc.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Limited,Exterior,Heavy Metal *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/bz4x/2880/278/17c437aec8fa7ea33f3d0931e9122006049316819ab09040268c6426c3ea3300.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Limited,Exterior,Supersonic Red *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/bz4x/2880/429/25abd2157626135c636fb4f2e149634d5d6cecf42b1e67f63f31cc2a3113504b.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Limited,Exterior,Black,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/bz4x/2880/598/f1727acee745022a0f6fe3ae740a8942aaff363e7ef66e505fa8e50af6a61d2f.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Limited,Exterior,Wind Chill Pearl with Black roof *,$975,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/bz4x/2880/565/70788cd5ea9841ba81a839ad127885a5343ee401ed25fc2883a28587eb77861e.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Limited,Exterior,Elemental Silver Metallic with Black roof *,$975,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/bz4x/2880/50/bd841d3200624d5f70904d2b82e1c717a5cd1eb7dd22bb20b615e59d5c73dd52.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Limited,Exterior,Heavy Metal with Black roof *,$975,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/bz4x/2880/286/a5576986ec674c02b0fd3c377f788aeb53191f771e97c34db35cfe5cd0522507.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Limited,Exterior,Supersonic Red with Black roof *,$975,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/bz4x/2880/54/d39a693689312baa8efb622332c41fe49f6c59612201f48b983f8760fbf304e7.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Limited,Interior,Softex-Lt. Gray,Included,N/A
Limited,Interior,Softex-Black,Included,N/A
Limited,Engine,Single Electric Motor,Included,N/A
Limited,Transmission,1-Speed Automatic Transmission,Included,N/A
Limited,Drivetrain,Front-Wheel Drive,Included,N/A
Limited,Drivetrain,All-Wheel Drive,,N/A
