Model,Category,Name,Price/Details,Image URL
LE,Exterior,Blueprint,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corolla/1852/975/595ebcef7794a6d5c2b590411aa72a3c600486a03da43ecb77994b68d4fcc2e2.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,Exterior,Wind Chill Pearl *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corolla/1852/120/6d239b88069b06daa3c81f79ad7ee156bb1cf9e5899687cefbf97201ffaaabe0.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,Exterior,Ice Cap,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corolla/1852/631/9a00d45f7709ab585dad16afe294f3785ac2f5664a27e1dd1a0288debddbb640.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,Exterior,Ruby Flare Pearl *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corolla/1852/282/a5e6a96293e438a74b60629ceef8cb9a86cec75d578d3af6ebe32179998f9029.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,Exterior,Classic Silver Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corolla/1852/852/7fd2fd5c2840510a6c1120e159b682405d07e82abe408feb71d685ec4d14dd63.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,Exterior,Celestite,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corolla/1852/852/da94e82cabc6ca8afb28a1d36c6b465d310590fcd103955096fc654096cf7d84.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,Exterior,Midnight Black Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corolla/1852/146/0363153a5dd85a500858fe06b7168cc7265bf7359097f0e3ae77fd7e8dfb5ddf.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,Exterior,Underground,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corolla/1852/356/6fac1ffc9d3a66d4386a389d4b927ed35390139347b57859821d88ef1d3bf89e.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,Interior,Light Gray Fabric,Included,N/A
LE,Interior,Black Fabric,Included,N/A
LE,Interior,Macadamia/Mocha Fabric,Included,N/A
LE,Engine,2.0L 4-Cyl. Engine,Included,N/A
LE,Transmission,Dynamic Shift Continuously Variable Transmission (CVT),Included,N/A
LE,Drivetrain,Front-Wheel Drive,Included,N/A
Hybrid LE,Exterior,Blueprint,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corolla/1882/947/dcad9efba4a5566029b12df74cabf9e5aba48efa5f5cf6a5abf7491870c34f31.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid LE,Exterior,Wind Chill Pearl *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corolla/1882/108/800257741eb31572ca7e9d2b1ae27d77bf07b8bdefeb58d7b223a37b110a3109.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid LE,Exterior,Ice Cap,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corolla/1882/339/0863254b2f06494e7315daad5b4989b53a55163f0935ee98cf6de6ac18a57e89.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid LE,Exterior,Ruby Flare Pearl *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corolla/1882/499/3cb680dbb2f11847e1807d84d8cf9e00a99a5f7d59c6fe730dbad96973800de5.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid LE,Exterior,Classic Silver Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corolla/1882/231/77883d0f469e0a30bcaf4325e599664f659f1032a2198576139c779127bab37f.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
