Model,Category,Name,Price/Details,Image URL
L,Exterior,Celestite,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacross/6301/169/d343645119cd3ab51a9f83cd79d86af51bf90a0de507e1d50f5e9f90389993c9.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
L,Exterior,Wind Chill Pearl *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacross/6301/235/dc19fb3bcc7e5d0a0f7efc0a87b9302805fa42e7dbc89edc3ad24d59fc64a0ee.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
L,Exterior,Jet Black,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacross/6301/469/cf65f49d9f5b92f09f699d876a37a4e466a8baed6128cfa58c7d82a92b4dc391.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
L,Exterior,Sonic Silver,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacross/6301/526/ae36e67648aaf5f3274179937964183e6c789fc0dea8764ef7c918631d6edc33.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
L,Interior,Light Gray Fabric,Included,N/A
L,Engine,2.0L 4-Cyl. Engine,Included,N/A
L,Transmission,Continuously Variable Transmission with intelligence and Shift Mode (CVTi-S),Included,N/A
L,Drivetrain,Front-Wheel Drive,Included,N/A
L,Drivetrain,All-Wheel Drive,"$1,300 MSRP",N/A
LE,Exterior,Celestite,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacross/6303/221/6f20758d1b117c5d2c9e192a9e413da0deb7f0829bee6bc393d9e8ea576592d2.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
