Model,Category,Name,Price/Details,Image URL
Core,Exterior,Supersonic Red *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grcorolla/6280/112/d1c7dfd81713095f41a4b9d869438d4e483d5dcf596c9353dafaf71908c009fc.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Core,Exterior,Ice Cap,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grcorolla/6280/389/681a9465fb50120ede3e8f563482f8fd4055f0728416696aff1802e06b84af8e.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Core,Exterior,Black,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grcorolla/6280/289/38f1f6291aff1ea2ac52bf2022b8105d658d6105afdf118530d80869aff1a312.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Core,Interior,Black fabric,Included,N/A
Core,Engine,1.6L 3-Cyl. Turbo Engine,Included,N/A
Core,Transmission,8-Speed GAZOO Racing Direct Automatic Transmission (DAT) with Paddle Shifters,Included,N/A
Core,Drivetrain,All-Wheel Drive,Included,N/A
Premium,Exterior,Supersonic Red *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grcorolla/6286/782/44adbcee500528e09ee947a3c5020e80caabd327d875aee4d37673fa6a6aee5a.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Premium,Exterior,Heavy Metal *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grcorolla/6286/372/19b75964c374581c3f70d61ee0c427092b06fe864ab8305dfea9413c5c7defa6.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Premium,Exterior,Ice Cap,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grcorolla/6286/451/27222263c9fc18604c73b1eafdd0dcd97dfacb35571ea80d94947333748e7a1b.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Premium,Exterior,Black,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grcorolla/6286/748/e3fce12ca1bf6b6fd1fffffde878bd882438d33636d06df8e2716822cbbb8a0a.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Premium,Interior,Black Brin Naub® and synthetic leather-trimmed with gray stitching,Included,N/A
Premium,Engine,1.6L 3-Cyl. Turbo Engine,Included,N/A
Premium,Transmission,8-Speed GAZOO Racing Direct Automatic Transmission (DAT) with Paddle Shifters,Included,N/A
Premium,Drivetrain,All-Wheel Drive,Included,N/A
Premium,Add-On,Sub radiator,$600 MSRP,N/A
Premium Plus,Exterior,Supersonic Red *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grcorolla/6288/847/c4d14c1f683fa91f8ad32fab7f0000b7c3f15b541efbee391881087ac34f34bf.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Premium Plus,Exterior,Heavy Metal *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grcorolla/6288/413/69dd6e7570e481485c93ac10f399c3b389185ca068e134eebabf25f124a1700a.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Premium Plus,Exterior,Ice Cap,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grcorolla/6288/414/fea4836e8e4cfa633cd538dad6d7672f6d0598885b31f401276ce3d83379ce3b.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Premium Plus,Exterior,Black,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grcorolla/6288/851/31ab6bdb6df0cf54a7cc9761f2c8e443eddcceb1a4e38a05620bda27e3ce432e.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Premium Plus,Interior,Black Brin Naub® and synthetic leather-trimmed with red stitching,Included,N/A
Premium Plus,Engine,1.6L 3-Cyl. Turbo Engine,Included,N/A
Premium Plus,Transmission,8-Speed GAZOO Racing Direct Automatic Transmission (DAT) with Paddle Shifters,Included,N/A
Premium Plus,Drivetrain,All-Wheel Drive,Included,N/A
