Model,Category,Name,Price/Details,Image URL
3.0,Exterior,Stratosphere *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grsupra/2372/232/564397586349f76cc5348eb940d98bfbc62f8ec62e31b8c1839a2537aa54a08e.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
3.0,Exterior,Absolute Zero,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grsupra/2372/437/4d8edd7593eee73c647d822bd2f702adb6faef86e3ee961f2439faf69fa5229a.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
3.0,Exterior,Nocturnal,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grsupra/2372/375/6d42348ff11b9cb1e981f44357bbb2c14d5c51b719cf6656723744e8a3cc4226.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
3.0,Exterior,Renaissance Red 2.0,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grsupra/2372/614/b8b68226f4c5af6471134ffa911f26b96b66c168b291b7d350ba10748c5e78c2.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
3.0,Interior,Black Alcantara/Leather-trimmed,Included,N/A
3.0,Engine,3.0L Inline 6-Cyl. Turbo Engine,Included,N/A
3.0,Transmission,8-Speed Automatic Transmission with paddle shifters,Included,N/A
3.0,Drivetrain,Rear-Wheel Drive,Included,N/A
3.0 Premium,Exterior,Stratosphere *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grsupra/2374/825/7907fda9f326c75a35c605744755b477dffb28c2fe0fbd5f2ca74e02e9f2b0e5.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
3.0 Premium,Exterior,Absolute Zero,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grsupra/2374/957/28dea93dfc73de496a0c17f5e855d0294997ba392e754c61d231cf2ad526168a.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
3.0 Premium,Exterior,Nocturnal,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grsupra/2374/35/68d8ed7bf120abe993e6dc14d176c826b3ac4bda53b39e3d85760173c754fb25.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
3.0 Premium,Exterior,Renaissance Red 2.0,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grsupra/2374/19/5640279b5475960bbec5bc44fa150a15943b91101c91b610899b0cb3195136f1.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
3.0 Premium,Interior,Black Leather-trimmed,Included,N/A
3.0 Premium,Interior,Hazelnut Leather-trimmed,Included,N/A
3.0 Premium,Engine,3.0L Inline 6-Cyl. Turbo Engine,Included,N/A
3.0 Premium,Transmission,8-Speed Automatic Transmission with paddle shifters,Included,N/A
3.0 Premium,Drivetrain,Rear-Wheel Drive,Included,N/A
