Model,Category,Name,Price/Details,Image URL
LE,Exterior,Wind Chill Pearl *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlander/6946/579/82564fb3d874c409e2ce80aecbc5a2f8a63da4e5568434b0bed086d92537fb88.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,Exterior,Midnight Black Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlander/6946/390/e971b1b66850429538b159a56ad2175f77b42804139bccc3cf0a94aa0964c5f0.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,Exterior,Celestial Silver Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlander/6946/470/c9fcc726f74a69562c7bfa3392dc7f006fd3078331cd90ad27c1841463b22a7c.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,Exterior,Magnetic Gray Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlander/6946/176/9f31a260b59e481cfd6c9a7013541b1d981f4f65c6713990c0e59f97ff00d794.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,Exterior,Cypress,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlander/6946/470/fb139c868ff8df802a5931a2b2ef8f3b1637b4c49d600acd990cf179454e11a0.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,Exterior,Blueprint,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlander/6946/123/c018551b5b48d79d40e191f867b132316729b15dd88258471250961ebf6a2666.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,Exterior,Ruby Flare Pearl *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlander/6946/39/771c4b7f2278c598728b4c703562500a74fe8ab0deccb7720fcf945a553e9bbc.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,Interior,Graphite Fabric,Included,N/A
LE,Interior,Black Fabric,Included,N/A
LE,Engine,2.4L 4-Cyl. Turbo Engine,Included,N/A
LE,Transmission,Direct Shift 8-Speed Electronically Controlled automatic Transmission (ECT),Included,N/A
LE,Drivetrain,Front-Wheel Drive,Included,N/A
LE,Drivetrain,All-Wheel Drive,"$1,600 MSRP",N/A
XLE,Exterior,Heavy Metal *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlander/6951/281/8afd16e960a9c79c5eda7d15d5d128093e48478c0736b052923ebe7bfce5ed3d.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,Exterior,Wind Chill Pearl *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlander/6951/376/bcecc4602c8bcfd84bbc43d5d824c3a4fd519fce0e867d36f9b61a57de3d124d.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,Exterior,Midnight Black Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlander/6951/651/dd2b7c7baf322af0f5470de6344fcd26cb0c4082b6f121caf1163739f9f38f92.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,Exterior,Celestial Silver Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlander/6951/539/7dee8c831e69127a8324a6bcb9d165f038dbdc8bb3b7657ac74218119139082b.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,Exterior,Magnetic Gray Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlander/6951/918/b0eeef96840f461dfeb80007cc361f08242c63dbb09d777daa419549321f9da6.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,Exterior,Cypress,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlander/6951/782/1f40d9e60e83eba93d230dbd5b384377cccba2bdde46c868e622739d83f70dea.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,Exterior,Blueprint,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlander/6951/428/1f67214c3efcb011372b0b785c3aa057503f87e0c91a51a2ac677d840099005b.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,Exterior,Ruby Flare Pearl *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlander/6951/905/e652eb719f0f392b719b182eca9a6be784ffdaa69eb5dea3a51e550196831d53.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,Interior,Black SofTex®-trimmed *,Included,N/A
XLE,Interior,Graphite SofTex®-trimmed *,Included,N/A
XLE,Interior,Harvest Beige SofTex®-trimmed *,Included,N/A
XLE,Engine,2.4L 4-Cyl. Turbo Engine,Included,N/A
XLE,Transmission,Direct Shift 8-Speed Electronically Controlled automatic Transmission (ECT),Included,N/A
XLE,Drivetrain,Front-Wheel Drive,Included,N/A
XLE,Drivetrain,All-Wheel Drive,"$1,600 MSRP",N/A
XLE,Add-On,Bench Seat,No Additional Cost,N/A
XLE,Add-On,12.3-in. Toyota Audio Multimedia,$735 MSRP,N/A
Hybrid XLE,Exterior,Heavy Metal *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlander/6965/421/f9e2a9eddd5e30821d8aa773d50f36ee0e263736674ecba804fac4412ddacebc.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid XLE,Exterior,Wind Chill Pearl *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlander/6965/861/b38fd12d9042d3c983227d6ef9362eb8ac91667aa93aca4208c785bba7dc8fc2.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
