Model,Category,Name,Price/Details,Image URL
Hybrid XLE,Exterior,Heavy Metal *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6965/724/a75eb8a450c949f77bff4ac70174f98a0b0e1276a6ba02f0d773f4b35c98c679.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid XLE,Exterior,Wind Chill Pearl *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6965/769/341c2d09e4be2d6336158984c08aeab7864078b9be307d45e87aad133b41c359.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid XLE,Exterior,Midnight Black Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6965/813/718c4f8d1e046a6ea06fbbb46f3fc342da9b546a6b53b38af8cb3597ab19438d.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid XLE,Exterior,Celestial Silver Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6965/290/19a66922e57abdaaa6d7a5c7cb27397d558384916e6b4acc2cd05b9a9a60503e.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid XLE,Exterior,Magnetic Gray Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6965/501/1d2027652f281f7032cc2b18f72ce4cc840957c8b63c618b2c5166d61f3bb676.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid XLE,Exterior,Cypress,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6965/698/688aa9024317e79335a67931af60f4a21aa4a879cd940a38c603656be27cbbad.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid XLE,Exterior,Blueprint,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6965/98/f2de4d7a11b6deab5a0f6b2b1734b1f20cd61352e72354450009d875921e11af.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid XLE,Exterior,Ruby Flare Pearl *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6965/955/dcc2f3f3a41239c3e75f76f55e92f4366f0e769ab3082b587ba8926bc07b6c9e.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid XLE,Interior,Black SofTex®-trimmed *,Included,N/A
Hybrid XLE,Interior,Graphite SofTex®-trimmed *,Included,N/A
Hybrid XLE,Interior,Harvest Beige SofTex®-trimmed *,Included,N/A
Hybrid XLE,Engine,2.5L 4-Cyl. Hybrid Engine,Included,N/A
Hybrid XLE,Transmission,Electronically controlled Continuously Variable Transmission (ECVT),Included,N/A
Hybrid XLE,Drivetrain,All-Wheel Drive,Included,N/A
Hybrid XLE,Add-On,Bench Seat,No Additional Cost,N/A
Hybrid XLE,Add-On,12.3-in. Toyota Audio Multimedia,$735 MSRP,N/A
Hybrid XLE Nightshade,Exterior,Wind Chill Pearl *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6989/640/5cb25370bc53f755d4811af3db95df16787859e544f5f11246a967533cb4eaee.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid XLE Nightshade,Exterior,Midnight Black Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6989/559/80fd7277df4d35ca36997682de0e74310b9e12bc0d13decdd2c41dfae81eefd1.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid XLE Nightshade,Exterior,Ruby Flare Pearl *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6989/497/22507e116c850d4c6d61d74399e03f52a8723fbef919f9da191a136f20b687ce.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid XLE Nightshade,Exterior,Cement,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6989/359/962951f751134e5ccfdd53f950f118b85400431fbcb12db6dcd3be6707435d00.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid XLE Nightshade,Interior,Black Mixed Media-trimmed,Included,N/A
Hybrid XLE Nightshade,Engine,2.5L 4-Cyl. Hybrid Engine,Included,N/A
Hybrid XLE Nightshade,Transmission,Electronically controlled Continuously Variable Transmission (ECVT),Included,N/A
Hybrid XLE Nightshade,Drivetrain,All-Wheel Drive,Included,N/A
Hybrid XLE Nightshade,Add-On,12.3-in. Toyota Audio Multimedia,$735 MSRP,N/A
Hybrid Limited,Exterior,Heavy Metal *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6966/450/4beffe7a39a3c382981aa3fdc3426b2bc9866c77a6e74ab2863cdc2b25ec26f5.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid Limited,Exterior,Wind Chill Pearl *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6966/672/ab6141684b40a7f530f56f1a16a1248121c989436a1d36c1f8815861a51a58e2.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid Limited,Exterior,Midnight Black Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6966/261/5db42dadb4813ddd8cc0cdd467131ce056532dc0df13876eb1fc02cdfcf3556d.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid Limited,Exterior,Celestial Silver Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6966/853/3e24c3f57a4f3e8b8e903dedc24243cf437af80da62ab00a43c683ab867e06c3.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid Limited,Exterior,Magnetic Gray Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6966/819/3e125ce3d380cef4f77d57cafdaddded34c1cc59db54a8c265311f1c8229e416.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid Limited,Exterior,Cypress,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6966/475/8a6f9ceb5ffdae2091decec06da5f9151b27ce9ef5e82ee8af2c66da6a466c89.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid Limited,Exterior,Blueprint,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6966/178/967d977adc1b20149b0154ecce35104c8ccbbbbf608fe4af9645f63e418c625f.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid Limited,Exterior,Ruby Flare Pearl *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6966/882/1c896b0a8153d83d02da15c6e01736a9fb697f9fc8f54b72ee2efe8b84acb32c.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid Limited,Interior,Black Leather-trimmed,Included,N/A
Hybrid Limited,Interior,Harvest Beige Leather-trimmed,Included,N/A
Hybrid Limited,Interior,Graphite Leather-trimmed,Included,N/A
Hybrid Limited,Engine,2.5L 4-Cyl. Hybrid Engine,Included,N/A
Hybrid Limited,Transmission,Electronically controlled Continuously Variable Transmission (ECVT),Included,N/A
Hybrid Limited,Drivetrain,All-Wheel Drive,Included,N/A
Hybrid Limited,Add-On,Panoramic View Monitor,$850 MSRP,N/A
Hybrid Limited 25th Edition,Exterior,Heavy Metal,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6982/134/8c7afbf638a77b0ae476208ae1eadabb0f5864795c4e8299ae9ca280ec09287f.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid Limited 25th Edition,Exterior,Wind Chill Pearl,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6982/292/3f21f9fca568cdaff429d22bc79af9c15aff3e3246244d0897ccfcebc2c08a7f.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid Limited 25th Edition,Interior,Portobello Leather-trimmed,Included,N/A
Hybrid Limited 25th Edition,Engine,2.5L 4-Cyl. Hybrid Engine,Included,N/A
Hybrid Limited 25th Edition,Transmission,Electronically controlled Continuously Variable Transmission (ECVT),Included,N/A
Hybrid Limited 25th Edition,Drivetrain,All-Wheel Drive,Included,N/A
Hybrid Platinum,Exterior,Heavy Metal *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6967/327/d77ff1771710c9e691bb6edf4da266935c4addc9ca4e944dc55f3e9a7e936640.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid Platinum,Exterior,Wind Chill Pearl *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6967/639/86790347a2612a4f980c648167dc2ec9c4a61a56a612bc1adb02438ca82df206.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid Platinum,Exterior,Midnight Black Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6967/634/83d6d56a8f7d4ceea7460a15b5f6f57ed6c6f61deca31848d1c16d96881fd3e6.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
