Model,Category,Name,Price/Details,Image URL
SE,Exterior,Wind Chill Pearl *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/priuspluginhybrid/1235/163/f8814bfb20a7685535898e1277f429e5647652c4529a2d9134e1f22bdf254769.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SE,Exterior,Guardian Gray,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/priuspluginhybrid/1235/889/1cc73761ddd56d8516ce4b6ab7856be2619be08009c99b2e5a8ef5f0b24d4d4e.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SE,Exterior,Supersonic Red *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/priuspluginhybrid/1235/941/e582a72d18013ab0ae5514eb47be3c744624d54741dd88c7c443fa952f0b20ce.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SE,Exterior,Cutting Edge,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/priuspluginhybrid/1235/354/20355de2f4d49d1102d5ddae3ccb780b7712e5935d2ba0d1655a59d26afd8b03.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SE,Exterior,Midnight Black Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/priuspluginhybrid/1235/564/b2396f943fe60e70f177ead1b532e4a4e1233139d47160cc14075d65c7d45aaa.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SE,Exterior,Reservoir Blue,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/priuspluginhybrid/1235/720/36bc1890d95c65c1364269ba5387f26d7b02d634c739dd734c93c0d406f595a5.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SE,Interior,Black and Red Fabric,Included,N/A
SE,Engine,2.0L 4-Cyl. Plug-in Hybrid,Included,N/A
SE,Transmission,Electronically controlled Continuously Variable Transmission (ECVT),Included,N/A
SE,Drivetrain,Front-Wheel Drive,Included,N/A
