Model Name,MSRP,Build URL,Image URL,MPG
LE,"$28,850",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4/model/4430/?bap_guid=26b4c9e4-79d2-412e-a5f3-791c5c01b579,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4430/338/b72a10ca8cdd22e32726c4936a01fb48363cf277d7424a0efcd54f713576b889.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",27/35
XLE,"$30,360",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4/model/4440/?bap_guid=26b4c9e4-79d2-412e-a5f3-791c5c01b579,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4440/738/c865b5423efde82920c23eff74909b2f9bd63c67fb4d1f9f60d119dea3948e93.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",27/35
Hybrid LE,"$31,900",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4/model/4435/?bap_guid=26b4c9e4-79d2-412e-a5f3-791c5c01b579,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4435/160/8dee23b0086e22daec1f073d040e8baf55e995c95f05c30f6f0ab43c89bce5b6.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",41/38
XLE Premium,"$33,250",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4/model/4477/?bap_guid=26b4c9e4-79d2-412e-a5f3-791c5c01b579,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4477/304/3971f7c0c4fef8f4cadc93f839845b30ec7a14f4e17b8cd8c4e32e4c9538dad2.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",27/35
Hybrid XLE,"$33,410",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4/model/4444/?bap_guid=26b4c9e4-79d2-412e-a5f3-791c5c01b579,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4444/225/0368de0173345b1f0b148ca12bb7b24b23b0bbc94a270ffe8baa733c2f36f280.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",41/38
Hybrid SE,"$34,595",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4/model/4524/?bap_guid=26b4c9e4-79d2-412e-a5f3-791c5c01b579,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4524/205/17867ab5e3da6364e34cc926e046519e2a327a30e6cae30ea071a25c01f08449.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",41/38
Hybrid Woodland Edition,"$35,120",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4/model/4437/?bap_guid=26b4c9e4-79d2-412e-a5f3-791c5c01b579,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4437/18/80c3555ae87348bb65f3819bb4f3f8331b5aa8df7304b89dca1e4eeb1d1051ca.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",38/35
Hybrid XLE Premium,"$36,300",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4/model/4528/?bap_guid=26b4c9e4-79d2-412e-a5f3-791c5c01b579,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4528/681/41ae8649f745f728889cb8b90a72a83dc965b4c5482542f8e7515859373b36b7.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",41/38
Limited,"$37,155",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4/model/4450/?bap_guid=26b4c9e4-79d2-412e-a5f3-791c5c01b579,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4450/571/0b7f69f34902e961154e3d889f7055e8ba0777ac053b30a7eae7f4ee0eb8dce5.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",27/35
Hybrid XSE,"$37,560",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4/model/4530/?bap_guid=26b4c9e4-79d2-412e-a5f3-791c5c01b579,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4530/881/74a0fe294377c371c38de702d84a0fad9712a3000e6f3100c1aeba974407e6ba.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",41/38
Hybrid Limited,"$40,205",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4/model/4534/?bap_guid=26b4c9e4-79d2-412e-a5f3-791c5c01b579,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4/4534/212/da0b0c9c08ea8ea9658a96f1fd1be5bdaaf02709c00c01ae1559beb293041369.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",41/38
