Model,Category,Name,Price/Details,Image URL
Hybrid LE,Exterior,Magnetic Gray Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4hybrid/4435/482/3e11a3fa17af9050d80b019f34f124ae1c271353308fe6fa07506a9aacf851b9.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid LE,Exterior,Ice Cap,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4hybrid/4435/670/c983f63ea313bc5b55e9bfcfd8d6ebe95173b3b5dc760928258e7c69a3b60000.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid LE,Exterior,Midnight Black Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4hybrid/4435/890/c61a470ac7502a89d710855236e22ba0fddb8a2ebaaae06054d2bd134c0409a2.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid LE,Exterior,Ruby Flare Pearl *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4hybrid/4435/246/b9e8ea1eb4cdf491f226ac09b2a7b7927391af1af3f734ae59118e2448c87d34.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid LE,Exterior,Silver Sky Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4hybrid/4435/524/6c5bccc4f5e85796385d7e4d64b32aee08df8f7d3ca181938d31995a08f8f023.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid LE,Interior,Nutmeg Fabric,Included,N/A
Hybrid LE,Interior,Black Fabric,Included,N/A
Hybrid LE,Engine,2.5L 4-Cyl. Hybrid Engine,Included,N/A
Hybrid LE,Transmission,Electronically controlled Continuously Variable Transmission (ECVT),Included,N/A
Hybrid LE,Drivetrain,All-Wheel Drive,Included,N/A
Hybrid LE,Add-On,Blind Spot Monitor (BSM) * with Rear Cross-Traffic Alert (RCTA) *,$590 MSRP,N/A
Hybrid LE,Add-On,Rear cargo area cover,$90 MSRP,N/A
Hybrid XLE,Exterior,Magnetic Gray Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4hybrid/4444/570/33fe28aabf64a448fd029c13109e4d09afbc44b21ccacaa47e06057a932f1f96.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid XLE,Exterior,Ice Cap,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4hybrid/4444/24/5a2940e02475b23488a150b6473ae17af37497d90b01b17055e9c6823c1ab722.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid XLE,Exterior,Midnight Black Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4hybrid/4444/224/99929038168b6ca446efc47d732add278a217e62ec11559cfec8f3b89944867a.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid XLE,Exterior,Ruby Flare Pearl *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4hybrid/4444/502/52db8e365edd372f9cae9bf784e903769c2f3966705b90ba3fb983d9ca7f218e.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid XLE,Exterior,Blueprint,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4hybrid/4444/179/24de20dbae122385baf0e75aa2dd19ccd2d3b4f823a1a92a83353766946288d8.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
