Model,Category,Name,Price/Details,Image URL
SR5,Exterior,Blueprint,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7946/279/f71d53875573d9410d5005629c8e6e584902a4074a3a9c24c4931c05ae05fab5.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR5,Exterior,Ice Cap,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7946/971/ca58181b6e992731b99d491221d62e4a3d3fa845240c4163b9fd86244559ae93.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR5,Exterior,Celestial Silver Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7946/422/ad573086464f5c481148261a0beda994a52c1964b090f1fc40a9c51b6caedc95.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR5,Exterior,Magnetic Gray Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7946/45/20b02a2d44cc2f68a3abc2443e0b3cf5e56776ac49ed074547d07626c8698e72.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR5,Exterior,Midnight Black Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7946/459/e2f6263ba828b21abbda715552e1740aef0b809aecbce0e164217e3e11346340.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR5,Exterior,Supersonic Red *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7946/802/a99e6022654bddc982d95a5cd8696979cdb0e42d88ff83a3f7607c1aa43f30e5.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR5,Exterior,Lunar Rock,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7946/673/974ad479b512d1f3630f0b2194c0409b86833821bd0c49c45a9a458c91f02ced.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR5,Exterior,Terra,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7946/673/974ad479b512d1f3630f0b2194c0409b86833821bd0c49c45a9a458c91f02ced.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR5,Interior,Boulder Fabric,Included,N/A
SR5,Interior,Boulder SofTex®-trimmed *,Included,N/A
SR5,Interior,Black Fabric,Included,N/A
SR5,Interior,Black SofTex®-trimmed *,Included,N/A
SR5,Engine,i-FORCE MAX Hybrid,Included,N/A
SR5,Transmission,10-Speed Electronically Controlled automatic Transmission with intelligence (ECT-i),Included,N/A
SR5,Drivetrain,Rear-Wheel Drive,Included,N/A
SR5,Drivetrain,4-Wheel Drive,"$3,000 MSRP",N/A
SR5,Add-On,SR5 Power Tow Mirrors,$290 MSRP,N/A
SR5,Add-On,Heated Leather-Wrapped Steering Wheel,$150 MSRP,N/A
Limited,Exterior,Wind Chill Pearl *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7948/663/2ef1254fcc0ad794bea27eab26750be8ce4f39cbb5c4175bfad2f41f660f72f1.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
