Model,Category,Name,Price/Details,Image URL
LE,Exterior,Celestial Silver Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sienna/5402/779/61dbe0637795560aaf4760396cedd549d56e71d20c98d73ad9e2ccf852e1c74d.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,Exterior,Ice Cap,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sienna/5402/368/aed9d4c8a748a615bd62388e45c0df4331c3787abeaff048423f3bd4ca926ff6.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,Exterior,Magnetic Gray Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sienna/5402/192/c33efd48f942d8a998297619aa36f829dd5183b0a5d4c21c8b353c7d079e341b.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,Exterior,Midnight Black Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sienna/5402/208/c26235d0e16777720f7b6c94963358b526ee76ff6a4145c98a3c836a4bf09218.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,Exterior,Ruby Flare Pearl *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sienna/5402/467/fb69ea43ba4be3fa8780307f7770f343a2fd3e57015cfaaf60f0116b2026f89e.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,Exterior,Cypress,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sienna/5402/457/75cbd081202d68a6ce7a4c6c0f36beee4ebfee1ecdebed04a7d1a851bfad96ed.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,Exterior,Blueprint,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sienna/5402/261/152044a533fd37fbbf74a91b77150638c2b6621f5cfaf7369aba57915119c9be.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
LE,Interior,Gray Woven Fabric,Included,N/A
LE,Engine,2.5L Hybrid Engine,Included,N/A
LE,Transmission,Electronically controlled Continuously Variable Transmission (ECVT),Included,N/A
LE,Drivetrain,Front-Wheel Drive,Included,N/A
LE,Drivetrain,All-Wheel Drive,"$2,000 MSRP",N/A
LE,Add-On,Roof rails,$150 MSRP,N/A
LE,Add-On,Spare tire,$75 MSRP,N/A
XLE,Exterior,Celestial Silver Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sienna/5406/36/191a684c2c0276be3d2022528422f9bc3f16f33244701d648f7b4efdd849de55.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
