Model Name,MSRP,Build URL,Image URL,MPG
SR,"$31,590",https://www.toyota.com/configurator/build/step/model/year/2025/series/tacoma/model/7162/?bap_guid=f8ad8f9b-be3b-498a-ad98-b47361a8fda3,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tacoma/7162/59/4c50a70ba4c98d12993af7fb8da8e49fa6510bd8085febb287fb8bbf64924d67.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",20/26
SR5,"$36,220",https://www.toyota.com/configurator/build/step/model/year/2025/series/tacoma/model/7126/?bap_guid=f8ad8f9b-be3b-498a-ad98-b47361a8fda3,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tacoma/7126/690/1be65c1ae18661fc25f1e5a1891acd3e1cdd9a5891dcf401106712f89e029d2a.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/26
TRD PreRunner,"$38,120",https://www.toyota.com/configurator/build/step/model/year/2025/series/tacoma/model/7166/?bap_guid=f8ad8f9b-be3b-498a-ad98-b47361a8fda3,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tacoma/7166/185/1c363771a78108d6f0ca4f59f74c08efe437cca8d1b665ffa37213b0207341ac.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",20/24
TRD Sport,"$39,400",https://www.toyota.com/configurator/build/step/model/year/2025/series/tacoma/model/7148/?bap_guid=f8ad8f9b-be3b-498a-ad98-b47361a8fda3,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tacoma/7148/13/ab7ce10d8135bb8acc3d584a70a19861bacbae80d8220b8333947ed40bf9b0d6.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",20/24
TRD Off-Road,"$41,800",https://www.toyota.com/configurator/build/step/model/year/2025/series/tacoma/model/7544/?bap_guid=f8ad8f9b-be3b-498a-ad98-b47361a8fda3,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tacoma/7545/611/3596b2c3d63a42c0b688ce3419a150f3989ef197a172d8400ee60c1c5f723673.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",18/23
TRD Sport i-FORCE MAX,"$46,320",https://www.toyota.com/configurator/build/step/model/year/2025/series/tacoma/model/7530/?bap_guid=f8ad8f9b-be3b-498a-ad98-b47361a8fda3,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tacoma/7530/924/7e936154b2e596d8a7b93af10b72aadcab82811ba47c63bc23ac01092ffec068.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",22/24
TRD Off-Road i-FORCE MAX,"$46,620",https://www.toyota.com/configurator/build/step/model/year/2025/series/tacoma/model/7532/?bap_guid=f8ad8f9b-be3b-498a-ad98-b47361a8fda3,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tacoma/7532/696/b11e3c189861c033beb7147552ea1255485725fc19404ddb775d1cd5b6b18004.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",22/24
Limited,"$52,555",https://www.toyota.com/configurator/build/step/model/year/2025/series/tacoma/model/7582/?bap_guid=f8ad8f9b-be3b-498a-ad98-b47361a8fda3,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tacoma/7582/565/4e3664adeccb98979579e7b7dae2c59ab6d4f9a4c75be188a4752ec80c73476b.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",20/23
Limited i-FORCE MAX,"$55,880",https://www.toyota.com/configurator/build/step/model/year/2025/series/tacoma/model/7534/?bap_guid=f8ad8f9b-be3b-498a-ad98-b47361a8fda3,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tacoma/7534/313/53e07289a0fbce740c77efabda0f4f9bb0ef0aefa196055714a249a4d9bebcba.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",23/24
Trailhunter,"$62,735",https://www.toyota.com/configurator/build/step/model/year/2025/series/tacoma/model/7536/?bap_guid=f8ad8f9b-be3b-498a-ad98-b47361a8fda3,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tacoma/7536/818/e880814a3cb0f54f91d4eae295cbda975de35b1cfff49bc3f3a6f1ef75a3ffcf.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",22/24
TRD Pro,"$63,735",https://www.toyota.com/configurator/build/step/model/year/2025/series/tacoma/model/7598/?bap_guid=f8ad8f9b-be3b-498a-ad98-b47361a8fda3,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tacoma/7598/895/7a366fb7d3a669735ccb14c78f2e2b6f740cdc99bc2adb7e214539ab93fb6437.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",22/24
