Model,Category,Name,Price/Details,Image URL
SR,Exterior,Celestial Silver Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tacoma/7162/324/e571d02cfe470c6e732ee819f79579f7b028d22609f9e4ef6b0dd9138474606c.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR,Exterior,Ice Cap,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tacoma/7162/59/4c50a70ba4c98d12993af7fb8da8e49fa6510bd8085febb287fb8bbf64924d67.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR,Exterior,Underground,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tacoma/7162/5/5face3b5af5a092c0ee66f77bb887cbe86a4879102aa129f47af48ab22c6fc00.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR,Exterior,Black,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tacoma/7162/214/b1aa0b2e3d56c29a615573a797cb4b2e0340c29790bc93e5676ecdd9bebb043b.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR,Exterior,Supersonic Red *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tacoma/7162/938/c2fba602dc5c7b000fffa4de0bc824bcb599298e1493c25ffbd1d08931db267e.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR,Interior,Black Fabric,Included,N/A
SR,Engine,i-FORCE 2.4L 4-Cyl. Turbo Engine,Included,N/A
SR,Transmission,8-Speed Automatic Transmission,Included,N/A
SR,Drivetrain,Rear-Wheel Drive,Included,N/A
SR,Drivetrain,4-Wheel Drive,"$3,200 MSRP",N/A
SR5,Exterior,Celestial Silver Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tacoma/7126/690/1be65c1ae18661fc25f1e5a1891acd3e1cdd9a5891dcf401106712f89e029d2a.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR5,Exterior,Ice Cap,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tacoma/7126/76/9fe60994aca3fa7353a9bcf637f56f948498b8c8ba769faae627da91f0e5175f.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR5,Exterior,Underground,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tacoma/7126/470/49e30fbe2b80ee6ed2da0d7fd76f2e692f8f29948dd8508e31c5385096d968f8.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR5,Exterior,Black,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tacoma/7126/800/d6d5d8700bf3481fdf03eb687ac1c6f15bd8c5fc175f29d79f11ac5aee650084.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR5,Exterior,Supersonic Red *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tacoma/7126/524/d6bdf22cc35e9be3bcc4d11ea0dead61fe7900365c7696fa0e48b05dc8dd3d84.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR5,Exterior,Blue Crush Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tacoma/7126/524/d6bdf22cc35e9be3bcc4d11ea0dead61fe7900365c7696fa0e48b05dc8dd3d84.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR5,Interior,Black Fabric,Included,N/A
SR5,Interior,Boulder Fabric w/Smoke Silver,Included,N/A
SR5,Interior,Black Fabric w/Smoke Silver,Included,N/A
SR5,Engine,i-FORCE 2.4L 4-Cyl. Turbo Engine,Included,N/A
SR5,Transmission,8-Speed Automatic Transmission,Included,N/A
SR5,Drivetrain,Rear-Wheel Drive,Included,N/A
SR5,Drivetrain,4-Wheel Drive,"$3,200 MSRP",N/A
SR5,Add-On,Heated Front Seats,$585 MSRP,N/A
SR5,Add-On,Full-Size Spare Tire,$85 MSRP,N/A
