Model,Category,Name,Price/Details,Image URL
XLE,Exterior,Bronze Age *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/toyotacrown/4015/241/0ae6ca59b6411f38480b5d01e17deed0a0a2cd789d25477eb03a75550971d714.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,Exterior,Storm Cloud *,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/toyotacrown/4015/943/383c21ef164259644ff0f2572978df87ac8687ddc3f9e2cb5d1ff3e5c97f6a16.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,Exterior,Black *,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/toyotacrown/4015/308/53940bec703423a1f8e8d9a21a24d0c70a42770da05d190f2ea8b5d4762e235f.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,Exterior,Heavy Metal *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/toyotacrown/4015/245/e4d184b58021e496e73ebf355e5f72fb09f450d0f1dcac08db97007756df0811.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,Exterior,Supersonic Red *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/toyotacrown/4015/311/146512f7d6174d186e3b941fee139e8d7b6dfce6d7b2457cf60a70c2281b8f3b.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,Exterior,Oxygen White *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/toyotacrown/4015/714/c3c4503a80cc9c8c938cfb282de2c8c6b8c94354430bcf81fc983e4220efb08c.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,Interior,Black Leather,Included,N/A
XLE,Engine,2.5L 4-Cyl. Hybrid Engine,Included,N/A
XLE,Transmission,Electronically controlled Continuously Variable Transmission (ECVT),Included,N/A
XLE,Drivetrain,All-Wheel Drive,Included,N/A
Limited,Exterior,Bronze Age *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/toyotacrown/4020/101/5b08662d0aaa640c918a462414f768d112e1fea15e63a6a29b429ad7dbf8c29a.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Limited,Exterior,Storm Cloud *,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/toyotacrown/4020/185/d56fd59987e6a9e83090a94ad3e2a531a4fceac7b87a667f3f490fe6dbf7b282.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Limited,Exterior,Black *,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/toyotacrown/4020/881/089c4481e2897e2c18608846027e8358283199158c21bf305c9bd24b4313552f.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Limited,Exterior,Heavy Metal *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/toyotacrown/4020/101/5b08662d0aaa640c918a462414f768d112e1fea15e63a6a29b429ad7dbf8c29a.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Limited,Exterior,Supersonic Red *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/toyotacrown/4020/701/e5d5757575e747565cef5cf589c05ca06d7a224a60db276098cea00b1e9d67fb.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Limited,Exterior,Oxygen White *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/toyotacrown/4020/553/81412679191008819ad0a62680518035480b5c1f5c25230e06ce095a775eb535.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Limited,Interior,Macadamia Leather,Included,N/A
Limited,Interior,Black Leather,Included,N/A
Limited,Interior,Black/Saddle Tan Leather,Included,N/A
Limited,Engine,2.5L 4-Cyl. Hybrid Engine,Included,N/A
Limited,Transmission,Electronically controlled Continuously Variable Transmission (ECVT),Included,N/A
Limited,Drivetrain,All-Wheel Drive,Included,N/A
Nightshade,Exterior,Storm Cloud *,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/toyotacrown/4025/462/5d3aeb7ee79de51a5ba5623673806c3a04c704ae6ed0627691594f6c9567563c.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
