Model Name,MSRP,Build URL,Image URL,MPG
SR,"$40,090",https://www.toyota.com/configurator/build/step/model/year/2025/series/tundra/model/8242/?bap_guid=89fc525f-b6eb-4757-9b61-a454c15b0c0a,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundra/8242/243/821770a3b2775e93885a7b963ab25094a3691bbe4310c80f535b8d71a3191038.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",18/23
SR5,"$45,960",https://www.toyota.com/configurator/build/step/model/year/2025/series/tundra/model/8241/?bap_guid=89fc525f-b6eb-4757-9b61-a454c15b0c0a,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundra/8241/2/9aa1e44aa722cf4bdfb7798164cf376de736c8174368a9d1401587ad9fed4b70.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",18/23
Limited,"$54,305",https://www.toyota.com/configurator/build/step/model/year/2025/series/tundra/model/8272/?bap_guid=89fc525f-b6eb-4757-9b61-a454c15b0c0a,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundra/8272/583/28a538a72a95739a7f24ae7ff79feb8e91eef0a6ae84ea8e722302930805c278.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",18/23
Limited i-FORCE MAX,"$58,005",https://www.toyota.com/configurator/build/step/model/year/2025/series/tundra/model/8401/?bap_guid=89fc525f-b6eb-4757-9b61-a454c15b0c0a,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundra/8401/301/e4248f9524972411e3c9ecec78d44380ce433f610955467f6902af6c46cb6257.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",20/24
Platinum,"$63,675",https://www.toyota.com/configurator/build/step/model/year/2025/series/tundra/model/8275/?bap_guid=89fc525f-b6eb-4757-9b61-a454c15b0c0a,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundra/8275/376/7349bd18995174246ec17bdbd90fccc13f9d7d99143e758e4428aa14b7518946.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",18/23
1794 Edition,"$64,360",https://www.toyota.com/configurator/build/step/model/year/2025/series/tundra/model/8276/?bap_guid=89fc525f-b6eb-4757-9b61-a454c15b0c0a,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundra/8276/499/3fad3b3b54dbfc39c2be68229cf41abf37c8d333c7f3df4fa82384286c9a025c.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",18/23
Platinum i-FORCE MAX,"$67,585",https://www.toyota.com/configurator/build/step/model/year/2025/series/tundra/model/8402/?bap_guid=89fc525f-b6eb-4757-9b61-a454c15b0c0a,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundra/8402/817/1230a8c12440b0c837ea148347dc5154f3e46e1866723bb60ef29464ab3f0058.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",20/24
1794 Edition i-FORCE MAX,"$68,285",https://www.toyota.com/configurator/build/step/model/year/2025/series/tundra/model/8403/?bap_guid=89fc525f-b6eb-4757-9b61-a454c15b0c0a,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundra/8403/739/5fa3f5837fe8c3256edcac74e87d5a9f1bd0e549e21e1bfd3d82ba7a26778df3.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",20/24
TRD Pro,"$72,510",https://www.toyota.com/configurator/build/step/model/year/2025/series/tundra/model/8424/?bap_guid=89fc525f-b6eb-4757-9b61-a454c15b0c0a,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundra/8424/754/c78c686aafbbb8983df698817f0427357e1990439d6d95df9460d7a3ca21a31c.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",18/20
Capstone,"$80,725",https://www.toyota.com/configurator/build/step/model/year/2025/series/tundra/model/8425/?bap_guid=89fc525f-b6eb-4757-9b61-a454c15b0c0a,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundra/8425/557/6c5890c58470931c974a71f4f73ecab5872dfadafe95dc72b869773b523147c9.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",19/22
